                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1999999842 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  1391659252 |  1391659252 |  1391659252 |  1391659252 |  1391659252 |  1391659252 |  1391659252 |  1391659252
  IPC                                |        1.44 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   409311545 |   409311545 |   409311545 |   409311545 |   409311545 |   409311545 |   409311545 |   409311545
  Idle time (ns)                     |       56203 |   409311545 |   409311545 |   409311545 |   409311545 |   409311545 |   409311545 |   409311545
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   197877292 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |    17027125 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       7.92% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |        8.51 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   284075729 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |           5 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   973386242 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |      254203 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.03% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.13 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      254208 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |        8705 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       3.42% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   284075729 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |       33792 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.01% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.02 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   973386242 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      245375 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.03% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.12 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |      279296 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      188535 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      67.50% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.09 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |      188777 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      170534 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      90.34% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.09 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |      252891 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      103.96 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |        1.46 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |       92371 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
