                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1999999839 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  2074002447 |  2074002447 |  2074002447 |  2074002447 |  2074002447 |  2074002447 |  2074002447 |  2074002447
  IPC                                |        0.96 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   610000720 |   610000720 |   610000720 |   610000720 |   610000720 |   610000720 |   610000720 |   610000720
  Idle time (ns)                     |       56080 |   610000720 |   610000720 |   610000720 |   610000720 |   610000720 |   610000720 |   610000720
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   288708295 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |    32199042 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |      10.03% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |       16.10 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   264924356 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |          74 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   703608061 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |     1255691 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.18% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.63 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     1255765 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |      462490 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      36.83% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.23 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   264924356 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      132422 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.05% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.07 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   703608061 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     9961107 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       1.42% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        4.98 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    11614569 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     9017793 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      77.64% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        4.51 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    10539509 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     6151602 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      58.37% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        3.08 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    11099762 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |    28954.80 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |    28852.30 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       4.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |     2948289 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
