                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1999999861 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  2138555971 |  2138555971 |  2138555971 |  2138555971 |  2138555971 |  2138555971 |  2138555971 |  2138555971
  IPC                                |        0.94 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   628987050 |   628987050 |   628987050 |   628987050 |   628987050 |   628987050 |   628987050 |   628987050
  Idle time (ns)                     |       54460 |   628987050 |   628987050 |   628987050 |   628987050 |   628987050 |   628987050 |   628987050
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   264256228 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |    25628577 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       8.84% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |       12.81 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   202626372 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |         633 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   676400945 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |     2031956 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.30% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        1.02 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     2032589 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |     1133168 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      55.75% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.57 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   202626372 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      138649 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.07% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.07 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   676400945 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |    14932448 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       2.21% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        7.47 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    15146826 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     5522974 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      36.46% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        2.76 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     5598796 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     2154181 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      38.48% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        1.08 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |     2399079 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      289.47 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |      186.97 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |     1983031 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
