                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  499999854 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  394024224 |  394024224 |  394024224 |  394024224 |  394024224 |  394024224 |  394024224 |  394024224
  IPC                                |       1.27 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |  115889478 |  115889478 |  115889478 |  115889478 |  115889478 |  115889478 |  115889478 |  115889478
  Idle time (ns)                     |       5233 |  115889478 |  115889478 |  115889478 |  115889478 |  115889478 |  115889478 |  115889478
  Idle time (%)                      |       0.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   21920219 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |    3299621 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |     13.08% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       6.60 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   51555694 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  273607123 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |      15354 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.03 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      15354 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |       2164 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     14.09% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   51555694 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      37107 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.07% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.07 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  273607123 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     193143 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.07% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.39 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     230250 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      85228 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     37.02% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.17 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      85228 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      59150 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     69.40% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.12 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      62847 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     108.06 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       5.56 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      19611 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
