                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  499999365 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  395349548 |  395349548 |  395349548 |  395349548 |  395349548 |  395349548 |  395349548 |  395349548
  IPC                                |       1.26 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |  116279279 |  116279279 |  116279279 |  116279279 |  116279279 |  116279279 |  116279279 |  116279279
  Idle time (ns)                     |       4018 |  116279279 |  116279279 |  116279279 |  116279279 |  116279279 |  116279279 |  116279279
  Idle time (%)                      |       0.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   48376736 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |    7444274 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |     13.34% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |      14.89 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   54094224 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  192946200 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |      14537 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.03 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      14537 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |       1120 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      7.70% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   54094224 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      84020 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.16% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.17 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  192946200 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    2970948 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      1.54% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       5.94 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    3055662 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     127997 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      4.19% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.26 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     128695 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      43242 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     33.60% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.09 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      64501 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     274.97 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     172.47 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      40447 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
