                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  499999835 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  548404819 |  548404819 |  548404819 |  548404819 |  548404819 |  548404819 |  548404819 |  548404819
  IPC                                |       0.91 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |  161295535 |  161295535 |  161295535 |  161295535 |  161295535 |  161295535 |  161295535 |  161295535
  Idle time (ns)                     |       5542 |  161295535 |  161295535 |  161295535 |  161295535 |  161295535 |  161295535 |  161295535
  Idle time (%)                      |       0.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   56974775 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |    4832957 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      7.82% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       9.67 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   54642598 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        279 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  177652343 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |    1014123 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.57% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       2.03 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |    1014402 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |     582776 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     57.45% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       1.17 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   54642598 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      56394 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.10% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.11 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  177652343 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    4935018 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      2.78% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       9.87 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    5028218 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    2934297 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     58.36% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       5.87 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    2971119 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    1048701 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     35.30% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       2.10 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |    1453523 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     410.44 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     307.93 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |     750937 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
