                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4      | Core 5     | Core 6     | Core 7    
  Instructions                       |  405612307 |  258584342 |  507780197 |  435525919 |  1109781679 |  327818643 |  384388595 |  570485757
  Cycles                             |  518279220 |  518279220 |  518279220 |  518279220 |   518279220 |  518279220 |  518279220 |  518279220
  IPC                                |       0.78 |       0.50 |       0.98 |       0.84 |        2.14 |       0.63 |       0.74 |       1.10
  Time (ns)                          |  152435065 |  152435065 |  152435065 |  152435065 |   152435065 |  152435065 |  152435065 |  152435065
  Idle time (ns)                     |      52702 |      43848 |      30334 |      32111 |       52111 |      20357 |      43920 |      45729
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |        0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |             |            |            |           
  num correct                        |   16994294 |    8870975 |   75723519 |   41741640 |   114367964 |   38150030 |   39062798 |   40864422
  num incorrect                      |     866223 |      54047 |    1799620 |    2945288 |      904488 |    3216299 |    4367024 |    3963331
  misprediction rate                 |      4.85% |      0.61% |      2.32% |      6.59% |       0.78% |      7.78% |     10.06% |      8.84%
  mpki                               |       2.14 |       0.21 |       3.54 |       6.76 |        0.82 |       9.81 |      11.36 |       6.95
TLB Summary                          |            |            |            |            |             |            |            |           
  I-TLB                              |            |            |            |            |             |            |            |           
    num accesses                     |   54748147 |   32949415 |   73608990 |   65705067 |   176058043 |   49636339 |   52954657 |  102658503
    num misses                       |       1157 |         15 |         12 |     351929 |         240 |          8 |     302210 |     513280
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.54% |       0.00% |      0.00% |      0.57% |      0.50%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.81 |        0.00 |       0.00 |       0.79 |       0.90
  D-TLB                              |            |            |            |            |             |            |            |           
    num accesses                     |  242106259 |  116289006 |  243375428 |  259360700 |   482235594 |  134984614 |  230482034 |  303350783
    num misses                       |      98457 |     220756 |    3105204 |    1287691 |       95210 |     931193 |     718969 |    1041997
    miss rate                        |      0.04% |      0.19% |      1.28% |      0.50% |       0.02% |      0.69% |      0.31% |      0.34%
    mpki                             |       0.24 |       0.85 |       6.12 |       2.96 |        0.09 |       2.84 |       1.87 |       1.83
  L2 TLB                             |            |            |            |            |             |            |            |           
    num accesses                     |      99614 |     220771 |    3105216 |    1639621 |       95450 |     931201 |    1021179 |    1555277
    num misses                       |       6615 |     170671 |    1537466 |     203929 |       26498 |     355778 |      96371 |     143723
    miss rate                        |      6.64% |     77.31% |     49.51% |     12.44% |      27.76% |     38.21% |      9.44% |      9.24%
    mpki                             |       0.02 |       0.66 |       3.03 |       0.47 |        0.02 |       1.09 |       0.25 |       0.25
Cache Summary                        |            |            |            |            |             |            |            |           
  Cache L1-I                         |            |            |            |            |             |            |            |           
    num cache accesses               |   54748147 |   32949415 |   73608990 |   65705031 |   176057938 |   49636339 |   52954657 |  102658429
    num cache misses                 |    8481675 |       8768 |      66372 |   13649288 |       23798 |     112589 |   10282374 |    8284734
    miss rate                        |     15.49% |      0.03% |      0.09% |     20.77% |       0.01% |      0.23% |     19.42% |      8.07%
    mpki                             |      20.91 |       0.03 |       0.13 |      31.34 |        0.02 |       0.34 |      26.75 |      14.52
  Cache L1-D                         |            |            |            |            |             |            |            |           
    num cache accesses               |  242107155 |  116290458 |  243375429 |  259362859 |   482237934 |  134984614 |  230482568 |  303353149
    num cache misses                 |     864115 |    2185248 |    6912392 |    1517616 |     2290870 |    3317997 |    1591801 |    2172012
    miss rate                        |      0.36% |      1.88% |      2.84% |      0.59% |       0.48% |      2.46% |      0.69% |      0.72%
    mpki                             |       2.13 |       8.45 |      13.61 |       3.48 |        2.06 |      10.12 |       4.14 |       3.81
  Cache L2                           |            |            |            |            |             |            |            |           
    num cache accesses               |    9353081 |    2386999 |    7185731 |   15202617 |     2714384 |    4231483 |   11920246 |   10477193
    num cache misses                 |     521747 |    2141452 |    6205007 |    1625056 |     1869851 |    2777074 |    1633996 |     896097
    miss rate                        |      5.58% |     89.71% |     86.35% |     10.69% |      68.89% |     65.63% |     13.71% |      8.55%
    mpki                             |       1.29 |       8.28 |      12.22 |       3.73 |        1.68 |       8.47 |       4.25 |       1.57
  Cache L3                           |            |            |            |            |             |            |            |           
    num cache accesses               |     543801 |    2334436 |    6411974 |    1660915 |     2269637 |    3578113 |    1681958 |     920953
    num cache misses                 |     445225 |    2030619 |    3217814 |     518925 |     1439008 |    2180371 |     565907 |     368322
    miss rate                        |     81.87% |     86.99% |     50.18% |     31.24% |      63.40% |     60.94% |     33.65% |     39.99%
    mpki                             |       1.10 |       7.85 |       6.34 |       1.19 |        1.30 |       6.65 |       1.47 |       0.65
DRAM summary                         |            |            |            |            |             |            |            |           
  num dram accesses                  |   15267388 |          0 |          0 |          0 |           0 |          0 |          0 |          0
  average dram access latency (ns)   |     531.26 |        inf |        inf |        inf |         inf |        inf |        inf |        inf
  average dram queueing delay        |     428.76 |       0.00 |       0.00 |       0.00 |        0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     25.00% |      0.00% |      0.00% |      0.00% |       0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |             |            |            |           
  num loads from dram                |      44051 |    2005730 |    2915148 |     145512 |      852756 |    1339153 |     121705 |     138147
  num loads from dram cache          |          0 |          0 |          0 |          0 |           0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |           0 |          0 |          0 |          0
