                                     | Core 0     | Core 1     | Core 2     | Core 3      | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  271565044 |   40243100 |  894264949 |  1616975446 |  555812867 |  416952157 |    2523535 |  201642500
  Cycles                             |  848329580 |  848329580 |  848329580 |   848329580 |  848329580 |  848329580 |  848329580 |  848329580
  IPC                                |       0.32 |       0.05 |       1.05 |        1.91 |       0.66 |       0.49 |       0.00 |       0.24
  Time (ns)                          |  249508700 |  249508700 |  249508700 |   249508700 |  249508700 |  249508700 |  249508700 |  249508700
  Idle time (ns)                     |      25870 |      40625 |      99816 |       39774 |       1390 |      28092 |  -12195586 |      54933
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |        0.0% |       0.0% |       0.0% |      -4.9% |       0.0%
Branch predictor stats               |            |            |            |             |            |            |            |           
  num correct                        |   18420881 |    4462499 |   98966155 |     9226289 |   29479007 |   21483506 |     531133 |   39666442
  num incorrect                      |     743627 |      75202 |     388033 |           3 |    2402647 |    1068378 |       3889 |    2277658
  misprediction rate                 |      3.88% |      1.66% |      0.39% |       0.00% |      7.54% |      4.74% |      0.73% |      5.43%
  mpki                               |       2.74 |       1.87 |       0.43 |        0.00 |       4.32 |       2.56 |       1.54 |      11.30
TLB Summary                          |            |            |            |             |            |            |            |           
  I-TLB                              |            |            |            |             |            |            |            |           
    num accesses                     |   38963901 |    3904239 |  154455929 |   117594850 |   71062301 |   60047406 |     192026 |   25907336
    num misses                       |     306305 |          0 |        696 |           0 |         40 |       4842 |         18 |          0
    miss rate                        |      0.79% |      0.00% |      0.00% |       0.00% |      0.00% |      0.01% |      0.01% |      0.00%
    mpki                             |       1.13 |       0.00 |       0.00 |        0.00 |       0.00 |       0.01 |       0.01 |       0.00
  D-TLB                              |            |            |            |             |            |            |            |           
    num accesses                     |  170298849 |   14044362 |  267771136 |   546893723 |  334214041 |  242890000 |     796420 |  119476146
    num misses                       |     489635 |     116956 |      86125 |      100057 |     387013 |     442094 |       2535 |       1120
    miss rate                        |      0.29% |      0.83% |      0.03% |       0.02% |      0.12% |      0.18% |      0.32% |      0.00%
    mpki                             |       1.80 |       2.91 |       0.10 |        0.06 |       0.70 |       1.06 |       1.00 |       0.01
  L2 TLB                             |            |            |            |             |            |            |            |           
    num accesses                     |     795940 |     116956 |      86821 |      100057 |     387053 |     446936 |       2553 |       1120
    num misses                       |      87130 |      41513 |      57854 |       99753 |     377364 |      13539 |         34 |        949
    miss rate                        |     10.95% |     35.49% |     66.64% |      99.70% |     97.50% |      3.03% |      1.33% |     84.73%
    mpki                             |       0.32 |       1.03 |       0.06 |        0.06 |       0.68 |       0.03 |       0.01 |       0.00
Cache Summary                        |            |            |            |             |            |            |            |           
  Cache L1-I                         |            |            |            |             |            |            |            |           
    num cache accesses               |   38963874 |    3904239 |  154455929 |   117594850 |   71062301 |   60047356 |     192026 |   25907278
    num cache misses                 |    4371403 |       4262 |     138603 |       37457 |    1452240 |     837315 |       2275 |       2068
    miss rate                        |     11.22% |      0.11% |      0.09% |       0.03% |      2.04% |      1.39% |      1.18% |      0.01%
    mpki                             |      16.10 |       0.11 |       0.15 |        0.02 |       2.61 |       2.01 |       0.90 |       0.01
  Cache L1-D                         |            |            |            |             |            |            |            |           
    num cache accesses               |  170300884 |   14044362 |  267771136 |   546895106 |  334214125 |  242891657 |     796420 |  119477956
    num cache misses                 |    1328548 |     234325 |    3871129 |    16696679 |   22633567 |    1331974 |     206325 |     186845
    miss rate                        |      0.78% |      1.67% |      1.45% |       3.05% |      6.77% |      0.55% |     25.91% |      0.16%
    mpki                             |       4.89 |       5.82 |       4.33 |       10.33 |      40.72 |       3.19 |      81.76 |       0.93
  Cache L2                           |            |            |            |             |            |            |            |           
    num cache accesses               |    5705481 |     305242 |    4013399 |    16734136 |   24115715 |    2180571 |     212060 |     223937
    num cache misses                 |     897146 |     214651 |    3717792 |     6439699 |   22554635 |     175345 |      33307 |     100671
    miss rate                        |     15.72% |     70.32% |     92.63% |      38.48% |     93.53% |      8.04% |     15.71% |     44.96%
    mpki                             |       3.30 |       5.33 |       4.16 |        3.98 |      40.58 |       0.42 |      13.20 |       0.50
  Cache L3                           |            |            |            |             |            |            |            |           
    num cache accesses               |     904590 |     281306 |    3722787 |     6439703 |   22584634 |     186794 |      39741 |     135698
    num cache misses                 |     180194 |     186084 |    3626823 |     6385460 |   22543202 |     126959 |      33283 |     100625
    miss rate                        |     19.92% |     66.15% |     97.42% |      99.16% |     99.82% |     67.97% |     83.75% |     74.15%
    mpki                             |       0.66 |       4.62 |       4.06 |        3.95 |      40.56 |       0.30 |      13.19 |       0.50
DRAM summary                         |            |            |            |             |            |            |            |           
  num dram accesses                  |   65940385 |          0 |          0 |           0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |   59416.73 |        inf |        inf |         inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |   59314.23 |       0.00 |       0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     66.00% |      0.00% |      0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |             |            |            |            |           
  num loads from dram                |      58114 |     154999 |      32642 |       17937 |      69288 |      48905 |      24847 |      39189
  num loads from dram cache          |          0 |          0 |          0 |           0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |           0 |          0 |          0 |          0 |          0
