                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |   499999895 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  1044828379 |  1044828379 |  1044828379 |  1044828379 |  1044828379 |  1044828379 |  1044828379 |  1044828379
  IPC                                |        0.48 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   307302465 |   307302465 |   307302465 |   307302465 |   307302465 |   307302465 |   307302465 |   307302465
  Idle time (ns)                     |        5554 |   307302465 |   307302465 |   307302465 |   307302465 |   307302465 |   307302465 |   307302465
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    17295244 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |      197671 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       1.13% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |        0.40 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |    50104716 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |          21 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   224547750 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |      696867 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.31% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        1.39 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      696888 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |      550543 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      79.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        1.10 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |    50104716 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |       27205 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.05% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.05 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   224547750 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     6281677 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       2.80% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |       12.56 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     6469571 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     6242880 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      96.50% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |       12.49 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     6403605 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     4769771 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      74.49% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        9.54 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |     5012656 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      130.34 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       27.84 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       4.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |     4748515 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
