                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  499999854 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  221446455 |  221446455 |  221446455 |  221446455 |  221446455 |  221446455 |  221446455 |  221446455
  IPC                                |       2.26 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   65131311 |   65131311 |   65131311 |   65131311 |   65131311 |   65131311 |   65131311 |   65131311
  Idle time (ns)                     |       5333 |   65131311 |   65131311 |   65131311 |   65131311 |   65131311 |   65131311 |   65131311
  Idle time (%)                      |       0.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   92312300 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |    3036238 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      3.18% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       6.07 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   79019133 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |          9 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  176219828 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |       1434 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       1443 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |       1321 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     91.55% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   79019133 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      36388 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.05% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.07 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  176219828 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      86714 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.05% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.17 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     123102 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      90034 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     73.14% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.18 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      90034 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      80981 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     89.94% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.16 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      81191 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     102.51 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       1382 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
