                                     | Core 0      | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  1999999825 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |   726539457 |  726539457 |  726539457 |  726539457 |  726539457 |  726539457 |  726539457 |  726539457
  IPC                                |        2.75 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   213688076 |  213688076 |  213688076 |  213688076 |  213688076 |  213688076 |  213688076 |  213688076
  Idle time (ns)                     |       56635 |  213688076 |  213688076 |  213688076 |  213688076 |  213688076 |  213688076 |  213688076
  Idle time (%)                      |        0.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |             |            |            |            |            |            |            |           
  num correct                        |   193269340 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |      720730 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |       0.37% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |        0.36 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |             |            |            |            |            |            |            |           
  I-TLB                              |             |            |            |            |            |            |            |           
    num accesses                     |   293426326 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |         238 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |             |            |            |            |            |            |            |           
    num accesses                     |   770809070 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |      497668 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.06% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.25 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |             |            |            |            |            |            |            |           
    num accesses                     |      497906 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |      118446 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      23.79% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.06 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |             |            |            |            |            |            |            |           
  Cache L1-I                         |             |            |            |            |            |            |            |           
    num cache accesses               |   293426326 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |       19175 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.01% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        0.01 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |             |            |            |            |            |            |            |           
    num cache accesses               |   770809070 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     7542970 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.98% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        3.77 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |             |            |            |            |            |            |            |           
    num cache accesses               |     7562648 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     7542857 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      99.74% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        3.77 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |             |            |            |            |            |            |            |           
    num cache accesses               |     7543360 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     5778259 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      76.60% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        2.89 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |             |            |            |            |            |            |            |           
  num dram accesses                  |    11554266 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      103.09 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |        0.59 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      13.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |             |            |            |            |            |            |            |           
  num loads from dram                |      184836 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |           0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |           0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
