                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1999999839 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  1704628147 |  1704628147 |  1704628147 |  1704628147 |  1704628147 |  1704628147 |  1704628147 |  1704628147
  IPC                                |        1.17 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   501361220 |   501361220 |   501361220 |   501361220 |   501361220 |   501361220 |   501361220 |   501361220
  Idle time (ns)                     |       56180 |   501361220 |   501361220 |   501361220 |   501361220 |   501361220 |   501361220 |   501361220
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   288708295 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |    32199042 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |      10.03% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |       16.10 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   264924356 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |          74 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   703608061 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |     1255691 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.18% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.63 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     1255765 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |      462490 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      36.83% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.23 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   264924356 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |       66402 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.03% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.03 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   703608061 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     9553456 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       1.36% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        4.78 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    10389607 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     8595118 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      82.73% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        4.30 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     9364940 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     3790604 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      40.48% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        1.90 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |     6792337 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |    47630.77 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |    47528.27 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       3.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |     1696739 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
