                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1999999835 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  1811977495 |  1811977495 |  1811977495 |  1811977495 |  1811977495 |  1811977495 |  1811977495 |  1811977495
  IPC                                |        1.10 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   532934558 |   532934558 |   532934558 |   532934558 |   532934558 |   532934558 |   532934558 |   532934558
  Idle time (ns)                     |       56355 |   532934558 |   532934558 |   532934558 |   532934558 |   532934558 |   532934558 |   532934558
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   240150288 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |    20589639 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       7.90% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |       10.29 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   263513375 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |           3 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   563308281 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |      211717 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.04% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.11 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      211720 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |      185834 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      87.77% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.09 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   263513375 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |        6965 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   563308281 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     3347381 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.59% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        1.67 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     3565051 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     2655121 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      74.48% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        1.33 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     2865826 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     1761989 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      61.48% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.88 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |     2778385 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      154.41 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       51.91 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       1.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |      956895 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
