                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7    
  Instructions                       |  1382784032 |  1128973101 |  1582305307 |  1238389374 |  1152142276 |  2437529832 |  2120576173 |  954587821
  Cycles                             |   906057171 |   906057171 |   906057171 |   906057171 |   906057171 |   906057171 |   906057171 |  906057171
  IPC                                |        1.53 |        1.25 |        1.75 |        1.37 |        1.27 |        2.69 |        2.34 |       1.05
  Time (ns)                          |   266487403 |   266487403 |   266487403 |   266487403 |   266487403 |   266487403 |   266487403 |  266487403
  Idle time (ns)                     |       94403 |       64902 |       76755 |       91465 |       76756 |       65021 |       99924 |      41451
  Idle time (%)                      |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |       0.0%
Branch predictor stats               |             |             |             |             |             |             |             |           
  num correct                        |   200053340 |   138969387 |    30848412 |   164695396 |   109745641 |   209518666 |    10649712 |   62654978
  num incorrect                      |    14080407 |     7805707 |     2726558 |     8148850 |    14245805 |       13888 |         104 |     125185
  misprediction rate                 |       6.58% |       5.32% |       8.12% |       4.71% |      11.49% |       0.01% |       0.00% |      0.20%
  mpki                               |       10.18 |        6.91 |        1.72 |        6.58 |       12.36 |        0.01 |        0.00 |       0.13
TLB Summary                          |             |             |             |             |             |             |             |           
  I-TLB                              |             |             |             |             |             |             |             |           
    num accesses                     |   214492414 |   156904661 |   284156732 |   155747626 |   122374764 |   320795786 |   153024001 |   84656586
    num misses                       |          91 |           2 |       26626 |          29 |           0 |         164 |           8 |          6
    miss rate                        |       0.00% |       0.00% |       0.01% |       0.00% |       0.00% |       0.00% |       0.00% |      0.00%
    mpki                             |        0.00 |        0.00 |        0.02 |        0.00 |        0.00 |        0.00 |        0.00 |       0.00
  D-TLB                              |             |             |             |             |             |             |             |           
    num accesses                     |   567797943 |   389440527 |  1012626514 |   555114223 |   473008200 |  1003018819 |   863918086 |  466650921
    num misses                       |      316686 |      368853 |      101243 |      144978 |       44008 |      502772 |     2632586 |     171603
    miss rate                        |       0.06% |       0.09% |       0.01% |       0.03% |       0.01% |       0.05% |       0.30% |      0.04%
    mpki                             |        0.23 |        0.33 |        0.06 |        0.12 |        0.04 |        0.21 |        1.24 |       0.18
  L2 TLB                             |             |             |             |             |             |             |             |           
    num accesses                     |      316777 |      368855 |      127869 |      145007 |       44008 |      502936 |     2632594 |     171609
    num misses                       |        1704 |      218358 |       13673 |       19229 |        2867 |       18063 |       69739 |     171556
    miss rate                        |       0.54% |      59.20% |      10.69% |      13.26% |       6.51% |       3.59% |       2.65% |     99.97%
    mpki                             |        0.00 |        0.19 |        0.01 |        0.02 |        0.00 |        0.01 |        0.03 |       0.18
Cache Summary                        |             |             |             |             |             |             |             |           
  Cache L1-I                         |             |             |             |             |             |             |             |           
    num cache accesses               |   214492414 |   156904582 |   284156732 |   155747626 |   122374719 |   320795786 |   153024001 |   84656586
    num cache misses                 |       11594 |        6475 |      274439 |        8325 |       21179 |        9127 |       40070 |      18003
    miss rate                        |       0.01% |       0.00% |       0.10% |       0.01% |       0.02% |       0.00% |       0.03% |      0.02%
    mpki                             |        0.01 |        0.01 |        0.17 |        0.01 |        0.02 |        0.00 |        0.02 |       0.02
  Cache L1-D                         |             |             |             |             |             |             |             |           
    num cache accesses               |   567800646 |   389442968 |  1012628242 |   555114535 |   473010923 |  1003018819 |   863918086 |  466652348
    num cache misses                 |      139024 |     1930914 |      993734 |     2084872 |     3947513 |     8906887 |    11210527 |    8846999
    miss rate                        |       0.02% |       0.50% |       0.10% |       0.38% |       0.83% |       0.89% |       1.30% |      1.90%
    mpki                             |        0.10 |        1.71 |        0.63 |        1.68 |        3.43 |        3.65 |        5.29 |       9.27
  Cache L2                           |             |             |             |             |             |             |             |           
    num cache accesses               |      151298 |     2094295 |     1314547 |     2143267 |     3985877 |     8926528 |    11250605 |    9130105
    num cache misses                 |      149262 |     1767575 |      629937 |      726315 |      259521 |     1214244 |     3785062 |    8863166
    miss rate                        |      98.65% |      84.40% |      47.92% |      33.89% |       6.51% |      13.60% |      33.64% |     97.08%
    mpki                             |        0.11 |        1.57 |        0.40 |        0.59 |        0.23 |        0.50 |        1.78 |       9.28
  Cache L3                           |             |             |             |             |             |             |             |           
    num cache accesses               |      149942 |     1924481 |      676412 |      781327 |      283979 |     1226702 |     3785070 |    9128277
    num cache misses                 |      145260 |     1313126 |      460307 |      415680 |      253911 |     1163774 |     3715983 |    8843638
    miss rate                        |      96.88% |      68.23% |      68.05% |      53.20% |      89.41% |      94.87% |      98.17% |     96.88%
    mpki                             |        0.11 |        1.16 |        0.29 |        0.34 |        0.22 |        0.48 |        1.75 |       9.26
DRAM summary                         |             |             |             |             |             |             |             |           
  num dram accesses                  |    28571083 |           0 |           0 |           0 |           0 |           0 |           0 |          0
  average dram access latency (ns)   |   105440.34 |         inf |         inf |         inf |         inf |         inf |         inf |        inf
  average dram queueing delay        |   105337.84 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |       0.00
  average dram bandwidth utilization |      26.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |      0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |           
  num loads from dram                |       54527 |      583813 |      131167 |      199913 |      127178 |      441056 |        3731 |    3231423
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |          0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |          0
