                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1999999870 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  1282824622 |  1282824622 |  1282824622 |  1282824622 |  1282824622 |  1282824622 |  1282824622 |  1282824622
  IPC                                |        1.56 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   377301360 |   377301360 |   377301360 |   377301360 |   377301360 |   377301360 |   377301360 |   377301360
  Idle time (ns)                     |       57470 |   377301360 |   377301360 |   377301360 |   377301360 |   377301360 |   377301360 |   377301360
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   437704254 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |    23109588 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       5.01% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |       11.55 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   278568097 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |          16 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1026074545 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |       88288 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.01% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.04 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |       88304 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |       14951 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      16.93% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   278568097 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |        6502 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1026074545 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     1723596 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.17% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.86 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     1759198 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      917458 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      52.15% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.46 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |      946558 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      637970 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      67.40% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.32 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |     1164193 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      110.17 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |        7.66 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |      209521 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
