                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  2223296426 |   717930105 |  1332034603 |  2100565468 |  2016748406 |  1048192336 |  2355039963 |  2437489842
  Cycles                             |  1889950539 |  1889950539 |  1889950539 |  1889950539 |  1889950539 |  1889950539 |  1889950539 |  1889950539
  IPC                                |        1.18 |        0.38 |        0.70 |        1.11 |        1.07 |        0.55 |        1.25 |        1.29
  Time (ns)                          |   555867806 |   555867806 |   555867806 |   555867806 |   555867806 |   555867806 |   555867806 |   555867806
  Idle time (ns)                     |       84500 |       90301 |      100137 |       78642 |       95829 |       58090 |       77999 |       84546
  Idle time (%)                      |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    59771589 |    25429140 |   157155840 |   204793641 |   261652793 |   127472202 |   265046084 |   170320190
  num incorrect                      |     2686775 |      315921 |     4961276 |    12173783 |    20940714 |    13880109 |     8904581 |    17668593
  misprediction rate                 |       4.30% |       1.23% |       3.06% |       5.61% |       7.41% |       9.82% |       3.25% |       9.40%
  mpki                               |        1.21 |        0.44 |        3.72 |        5.80 |       10.38 |       13.24 |        3.78 |        7.25
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   292193395 |    69405694 |   186907206 |   318861175 |   283806791 |   162051943 |   342065487 |   439013032
    num misses                       |        1077 |          21 |          12 |     1446785 |         286 |           8 |      404706 |     2291650
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.45% |       0.00% |       0.00% |       0.12% |       0.52%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.69 |        0.00 |        0.00 |        0.17 |        0.94
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1523714079 |   321559999 |   817731722 |  1253026913 |   766040429 |   421869690 |  1533447699 |  1301663602
    num misses                       |     1710427 |     1078649 |    14367764 |     6687483 |      955124 |     5842033 |     3035999 |     4804096
    miss rate                        |       0.11% |       0.34% |       1.76% |       0.53% |       0.12% |       1.38% |       0.20% |       0.37%
    mpki                             |        0.77 |        1.50 |       10.79 |        3.18 |        0.47 |        5.57 |        1.29 |        1.97
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     1711504 |     1078670 |    14367776 |     8134268 |      955410 |     5842041 |     3440705 |     7095746
    num misses                       |       15029 |      855672 |     7314414 |     1093441 |      368878 |     2585500 |      290727 |      774766
    miss rate                        |       0.88% |      79.33% |      50.91% |      13.44% |      38.61% |      44.26% |       8.45% |      10.92%
    mpki                             |        0.01 |        1.19 |        5.49 |        0.52 |        0.18 |        2.47 |        0.12 |        0.32
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   292193395 |    69405694 |   186907206 |   318861175 |   283806738 |   162051943 |   342065457 |   439013032
    num cache misses                 |     4434594 |       23500 |      251941 |    25210505 |       50889 |      256948 |     7004259 |    18885119
    miss rate                        |       1.52% |       0.03% |       0.13% |       7.91% |       0.02% |       0.16% |       2.05% |       4.30%
    mpki                             |        1.99 |        0.03 |        0.19 |       12.00 |        0.03 |        0.25 |        2.97 |        7.75
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1523714079 |   321560697 |   817731722 |  1253026913 |   766042121 |   421869690 |  1533449204 |  1301663602
    num cache misses                 |     8039113 |     9541331 |    28900206 |     2877907 |     8865954 |    10480395 |     5834042 |     5670211
    miss rate                        |       0.53% |       2.97% |       3.53% |       0.23% |       1.16% |       2.48% |       0.38% |       0.44%
    mpki                             |        3.62 |       13.29 |       21.70 |        1.37 |        4.40 |       10.00 |        2.48 |        2.33
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    12479921 |     9752706 |    29332189 |    28207116 |    10298051 |    11993283 |    13388174 |    24950566
