                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |   812619986 |   405988814 |  2262607510 |  2437423867 |  1410257154 |  1892617821 |  1475718276 |  1047337753
  Cycles                             |  1214994746 |  1214994746 |  1214994746 |  1214994746 |  1214994746 |  1214994746 |  1214994746 |  1214994746
  IPC                                |        0.67 |        0.33 |        1.86 |        2.01 |        1.16 |        1.56 |        1.21 |        0.86
  Time (ns)                          |   357351396 |   357351396 |   357351396 |   357351396 |   357351396 |   357351396 |   357351396 |   357351396
  Idle time (ns)                     |       99979 |       18856 |       99999 |      100054 |       14435 |      100087 |       99916 |      100016
  Idle time (%)                      |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    59284268 |    47250293 |   228219083 |    33514579 |    65878780 |    73231937 |   106046242 |   206058063
  num incorrect                      |     1899695 |     4238311 |      930454 |         141 |     7871980 |     3522474 |      850382 |    11833530
  misprediction rate                 |       3.10% |       8.23% |       0.41% |       0.00% |      10.67% |       4.59% |       0.80% |       5.43%
  mpki                               |        2.34 |       10.44 |        0.41 |        0.00 |        5.58 |        1.86 |        0.58 |       11.30
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   112212077 |    44185350 |   351296128 |   198345690 |   165646388 |   267411603 |   150695992 |   134597318
    num misses                       |      775905 |         230 |         254 |           7 |          40 |         691 |        6546 |           0
    miss rate                        |       0.69% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.95 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   512608106 |   144057142 |   817455075 |   879904752 |   820264104 |  1128322192 |   561430543 |   620546302
    num misses                       |     1479474 |      751596 |      515995 |      149981 |      350495 |     2235911 |       97856 |        6139
    miss rate                        |       0.29% |       0.52% |       0.06% |       0.02% |       0.04% |       0.20% |       0.02% |       0.00%
    mpki                             |        1.82 |        1.85 |        0.23 |        0.06 |        0.25 |        1.18 |        0.07 |        0.01
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     2255379 |      751826 |      516249 |      149988 |      350535 |     2236602 |      104402 |        6139
    num misses                       |      443099 |      419083 |      123668 |      134893 |      300905 |       65466 |       54383 |        4767
    miss rate                        |      19.65% |      55.74% |      23.96% |      89.94% |      85.84% |       2.93% |      52.09% |      77.65%
    mpki                             |        0.55 |        1.03 |        0.05 |        0.06 |        0.21 |        0.03 |        0.04 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   112212077 |    44185350 |   351296128 |   198345690 |   165646383 |   267411603 |   150695992 |   134597318
    num cache misses                 |     5185104 |       29322 |       20964 |       59971 |       76769 |       51294 |     1136104 |        4050
    miss rate                        |       4.62% |       0.07% |       0.01% |       0.03% |       0.05% |       0.02% |       0.75% |       0.00%
    mpki                             |        6.38 |        0.07 |        0.01 |        0.02 |        0.05 |        0.03 |        0.77 |        0.00
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   512608106 |   144057142 |   817455075 |   879904752 |   820264514 |  1128322192 |   561430543 |   620546302
    num cache misses                 |     3849512 |     3444649 |     8096203 |     8655814 |    13318005 |      123853 |     3600040 |      619677
    miss rate                        |       0.75% |       2.39% |       0.99% |       0.98% |       1.62% |       0.01% |       0.64% |       0.10%
    mpki                             |        4.74 |        8.48 |        3.58 |        3.55 |        9.44 |        0.07 |        2.44 |        0.59
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     9041226 |     3568779 |     8131351 |     8715840 |    13493146 |      188915 |     4806615 |      699134
    num cache misses                 |     1592619 |     1916731 |     7901705 |     8711908 |    13321377 |      158127 |     3472796 |      392782
    miss rate                        |      17.62% |      53.71% |      97.18% |      99.95% |      98.73% |      83.70% |      72.25% |      56.18%
    mpki                             |        1.96 |        4.72 |        3.49 |        3.57 |        9.45 |        0.08 |        2.35 |        0.38
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     1602997 |     2013128 |     7920544 |     8711965 |    13419830 |      172093 |     3546478 |      468189
    num cache misses                 |      234269 |     1153117 |     7598135 |     8620538 |    13316853 |      151757 |     2988538 |      384555
    miss rate                        |      14.61% |      57.28% |      95.93% |      98.95% |      99.23% |      88.18% |      84.27% |      82.14%
    mpki                             |        0.29 |        2.84 |        3.36 |        3.54 |        9.44 |        0.08 |        2.03 |        0.37
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    66997271 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |    11034.42 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |    10931.92 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      46.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |       96049 |      818861 |      298016 |      349480 |      178682 |       69203 |      402492 |       85797
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
