                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1999999854 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  1033310594 |  1033310594 |  1033310594 |  1033310594 |  1033310594 |  1033310594 |  1033310594 |  1033310594
  IPC                                |        1.94 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   303914881 |   303914881 |   303914881 |   303914881 |   303914881 |   303914881 |   303914881 |   303914881
  Idle time (ns)                     |       56236 |   303914881 |   303914881 |   303914881 |   303914881 |   303914881 |   303914881 |   303914881
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    52407620 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |     5262012 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       9.12% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |        2.63 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   312070730 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |        4102 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1255593836 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |      149328 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.01% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.07 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      153430 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |       27810 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      18.13% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   312070730 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |       57917 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.02% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.03 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1255593836 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     1018607 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.08% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.51 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     1081659 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      652023 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      60.28% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.33 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |      657158 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      252539 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      38.43% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.13 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |      406160 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      105.01 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |        0.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |       69908 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
