                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1999999875 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  3298007026 |  3298007026 |  3298007026 |  3298007026 |  3298007026 |  3298007026 |  3298007026 |  3298007026
  IPC                                |        0.61 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   970002067 |   970002067 |   970002067 |   970002067 |   970002067 |   970002067 |   970002067 |   970002067
  Idle time (ns)                     |       56696 |   970002067 |   970002067 |   970002067 |   970002067 |   970002067 |   970002067 |   970002067
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   245055326 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |    27271402 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |      10.01% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |       13.64 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   199854844 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   814656786 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |    16834557 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       2.07% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        8.42 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |    16834557 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |     8209848 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      48.77% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        4.10 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   199854844 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      750329 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.38% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.38 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   814656786 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |    21467383 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       2.64% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |       10.73 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    24046833 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |    16653937 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      69.26% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        8.33 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    18483442 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     5727661 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      30.99% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        2.86 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |     8175610 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      105.93 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |        0.93 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       4.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |     5418384 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
