                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1999999823 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  1154144024 |  1154144024 |  1154144024 |  1154144024 |  1154144024 |  1154144024 |  1154144024 |  1154144024
  IPC                                |        1.73 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   339454125 |   339454125 |   339454125 |   339454125 |   339454125 |   339454125 |   339454125 |   339454125
  Idle time (ns)                     |       17275 |   339454125 |   339454125 |   339454125 |   339454125 |   339454125 |   339454125 |   339454125
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   189474800 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |    17735055 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       8.56% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |        8.87 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   132850506 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   874786023 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |      131248 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.02% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.07 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      131248 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |        6373 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       4.86% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   132850506 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |       20556 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.02% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.01 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   874786023 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     5778616 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.66% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        2.89 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     5801236 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      144422 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       2.49% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.07 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |      146486 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |       95601 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      65.26% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.05 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |      143889 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      105.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |       91769 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
