                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1999999861 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  1945022531 |  1945022531 |  1945022531 |  1945022531 |  1945022531 |  1945022531 |  1945022531 |  1945022531
  IPC                                |        1.03 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   572065450 |   572065450 |   572065450 |   572065450 |   572065450 |   572065450 |   572065450 |   572065450
  Idle time (ns)                     |       54466 |   572065450 |   572065450 |   572065450 |   572065450 |   572065450 |   572065450 |   572065450
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   264256228 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |    25628577 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       8.84% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |       12.81 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   110711318 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |         633 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   672271138 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |     2031956 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.30% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        1.02 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     2032589 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |     1133168 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      55.75% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.57 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   110711318 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |       64788 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.06% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.03 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   672271138 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     7333712 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       1.09% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        3.67 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     7413195 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     3235500 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      43.65% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        1.62 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     3250220 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      856328 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      26.35% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.43 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |      902741 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      120.76 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       15.76 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |      821850 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
