                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1999999870 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  1265669242 |  1265669242 |  1265669242 |  1265669242 |  1265669242 |  1265669242 |  1265669242 |  1265669242
  IPC                                |        1.58 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   372255660 |   372255660 |   372255660 |   372255660 |   372255660 |   372255660 |   372255660 |   372255660
  Idle time (ns)                     |       57463 |   372255660 |   372255660 |   372255660 |   372255660 |   372255660 |   372255660 |   372255660
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   437704254 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |    23109588 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       5.01% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |       11.55 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   181760277 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |          16 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1023881816 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |       88288 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.01% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.04 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |       88304 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |       14951 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      16.93% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   181760277 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |        5120 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1023881816 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     1207797 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.12% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.60 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     1227733 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      465090 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      37.88% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.23 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |      479906 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      320009 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      66.68% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.16 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |      584148 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      118.56 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       13.56 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |      105012 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
