                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  2241895483 |   710841843 |  1486773335 |  2204458208 |  2264388937 |  1095323274 |  2421309789 |  2437513095
  Cycles                             |  1874232849 |  1874232849 |  1874232849 |  1874232849 |  1874232849 |  1874232849 |  1874232849 |  1874232849
  IPC                                |        1.20 |        0.38 |        0.79 |        1.18 |        1.21 |        0.58 |        1.29 |        1.30
  Time (ns)                          |   551244956 |   551244956 |   551244956 |   551244956 |   551244956 |   551244956 |   551244956 |   551244956
  Idle time (ns)                     |       78608 |       93362 |       99119 |       78621 |       86822 |       82748 |       71896 |       77684
  Idle time (%)                      |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    60236495 |    25203268 |   172432381 |   215009323 |   306432536 |   133234385 |   272126018 |   170321898
  num incorrect                      |     2707233 |      314322 |     6032366 |    12602142 |    25557275 |    14526953 |     9667345 |    17668741
  misprediction rate                 |       4.30% |       1.23% |       3.38% |       5.54% |       7.70% |       9.83% |       3.43% |       9.40%
  mpki                               |        1.21 |        0.44 |        4.06 |        5.72 |       11.29 |       13.26 |        3.99 |        7.25
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   184567186 |    42045303 |   154073809 |   234659616 |   235906895 |   108902871 |   251507022 |   354475230
    num misses                       |        1077 |          21 |          12 |     1460720 |         289 |           8 |      451911 |     2291662
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.62% |       0.00% |       0.00% |       0.18% |       0.65%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.66 |        0.00 |        0.00 |        0.19 |        0.94
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1536734646 |   312092595 |   922597966 |  1315236538 |   846607032 |   440970004 |  1572448916 |  1300946468
    num misses                       |     1728408 |     1066697 |    16180160 |     6992502 |     1232500 |     6195989 |     3265719 |     4804151
    miss rate                        |       0.11% |       0.34% |       1.75% |       0.53% |       0.15% |       1.41% |       0.21% |       0.37%
    mpki                             |        0.77 |        1.50 |       10.88 |        3.17 |        0.54 |        5.66 |        1.35 |        1.97
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     1729485 |     1066718 |    16180172 |     8453222 |     1232789 |     6195997 |     3717630 |     7095813
    num misses                       |       15121 |      846130 |     8235273 |     1111438 |      448715 |     2756554 |      323930 |      774768
    miss rate                        |       0.87% |      79.32% |      50.90% |      13.15% |      36.40% |      44.49% |       8.71% |      10.92%
    mpki                             |        0.01 |        1.19 |        5.54 |        0.50 |        0.20 |        2.52 |        0.13 |        0.32
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   184567186 |    42045344 |   154073809 |   234659663 |   235906955 |   108902958 |   251507097 |   354475315
    num cache misses                 |     3323508 |       14815 |      175164 |    25308750 |       46627 |      291917 |     8556024 |    16892782
    miss rate                        |       1.80% |       0.04% |       0.11% |      10.79% |       0.02% |       0.27% |       3.40% |       4.77%
    mpki                             |        1.48 |        0.02 |        0.12 |       11.48 |        0.02 |        0.27 |        3.53 |        6.93
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1536734646 |   312093246 |   922598079 |  1315237400 |   846607744 |   440971130 |  1572450197 |  1300947392
    num cache misses                 |     7745303 |     5210679 |    26684717 |     3109024 |     5932109 |     8771587 |     5033686 |     5678442
    miss rate                        |       0.50% |       1.67% |       2.89% |       0.24% |       0.70% |       1.99% |       0.32% |       0.44%
    mpki                             |        3.45 |        7.33 |       17.95 |        1.41 |        2.62 |        8.01 |        2.08 |        2.33
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    11073204 |     5331178 |    26972736 |    28508195 |     6961088 |    10127851 |    13960530 |    22797085
    num cache misses                 |      581958 |     5117811 |    23449923 |     1917986 |     4970894 |     6597710 |     1586173 |     1800889
    miss rate                        |       5.26% |      96.00% |      86.94% |       6.73% |      71.41% |      65.14% |      11.36% |       7.90%
    mpki                             |        0.26 |        7.20 |       15.77 |        0.87 |        2.20 |        6.02 |        0.66 |        0.74
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |      750046 |     5223514 |    23562912 |     2009030 |     5953541 |     7662319 |     1958550 |     2038128
    num cache misses                 |      579187 |     4600392 |     7240817 |     1075097 |     3537790 |     4072833 |     1118912 |      747503
