                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7    
  Instructions                       |  1399572919 |  1125535450 |  1558057377 |  1252559023 |  1127576340 |  2437554929 |  1749256621 |  881514421
  Cycles                             |   918387951 |   918387951 |   918387951 |   918387951 |   918387951 |   918387951 |   918387951 |  918387951
  IPC                                |        1.52 |        1.23 |        1.70 |        1.36 |        1.23 |        2.65 |        1.90 |       0.96
  Time (ns)                          |   270114103 |   270114103 |   270114103 |   270114103 |   270114103 |   270114103 |   270114103 |  270114103
  Idle time (ns)                     |       82731 |       62984 |       62143 |       80937 |       79416 |       57684 |      100011 |      78574
  Idle time (%)                      |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |       0.0%
Branch predictor stats               |             |             |             |             |             |             |             |           
  num correct                        |   202478020 |   138591580 |    30077203 |   165582261 |   107466064 |   209522260 |     7328822 |   61375386
  num incorrect                      |    14254716 |     7780594 |     2645030 |     8281177 |    14071163 |       13888 |          33 |     121495
  misprediction rate                 |       6.58% |       5.32% |       8.08% |       4.76% |      11.58% |       0.01% |       0.00% |      0.20%
  mpki                               |       10.19 |        6.91 |        1.70 |        6.61 |       12.48 |        0.01 |        0.00 |       0.14
TLB Summary                          |             |             |             |             |             |             |             |           
  I-TLB                              |             |             |             |             |             |             |             |           
    num accesses                     |   172565196 |   109004180 |   229295772 |   110778385 |    68630829 |   209776067 |    65980323 |   45486816
    num misses                       |          96 |           2 |       26563 |          29 |           0 |         164 |           5 |          6
    miss rate                        |       0.00% |       0.00% |       0.01% |       0.00% |       0.00% |       0.00% |       0.00% |      0.00%
    mpki                             |        0.00 |        0.00 |        0.02 |        0.00 |        0.00 |        0.00 |        0.00 |       0.00
  D-TLB                              |             |             |             |             |             |             |             |           
    num accesses                     |   574664765 |   388323613 |   997714769 |   563143163 |   458704484 |  1003011071 |   729953615 |  433482571
    num misses                       |      322423 |      368781 |       98952 |      145980 |       43035 |      502772 |     2605631 |     164288
    miss rate                        |       0.06% |       0.09% |       0.01% |       0.03% |       0.01% |       0.05% |       0.36% |      0.04%
    mpki                             |        0.23 |        0.33 |        0.06 |        0.12 |        0.04 |        0.21 |        1.49 |       0.19
  L2 TLB                             |             |             |             |             |             |             |             |           
    num accesses                     |      322519 |      368783 |      125515 |      146009 |       43035 |      502936 |     2605636 |     164294
    num misses                       |        1710 |      218317 |       13277 |       19259 |        2800 |       18063 |       61765 |     164241
    miss rate                        |       0.53% |      59.20% |      10.58% |      13.19% |       6.51% |       3.59% |       2.37% |     99.97%
    mpki                             |        0.00 |        0.19 |        0.01 |        0.02 |        0.00 |        0.01 |        0.04 |       0.19
Cache Summary                        |             |             |             |             |             |             |             |           
  Cache L1-I                         |             |             |             |             |             |             |             |           
    num cache accesses               |   172565196 |   109004236 |   229295772 |   110778446 |    68630850 |   209776114 |    65980323 |   45486818
    num cache misses                 |       12656 |        6858 |      205616 |        5780 |       13466 |        6317 |       20593 |       9124
    miss rate                        |       0.01% |       0.01% |       0.09% |       0.01% |       0.02% |       0.00% |       0.03% |      0.02%
    mpki                             |        0.01 |        0.01 |        0.13 |        0.00 |        0.01 |        0.00 |        0.01 |       0.01
  Cache L1-D                         |             |             |             |             |             |             |             |           
    num cache accesses               |   574664765 |   388324303 |   997715053 |   563143752 |   458705212 |  1003011734 |   729953615 |  433483226
    num cache misses                 |       72376 |     1709899 |      519660 |     1419201 |     2562294 |     4642873 |     9600707 |    4324342
    miss rate                        |       0.01% |       0.44% |       0.05% |       0.25% |       0.56% |       0.46% |       1.32% |      1.00%
    mpki                             |        0.05 |        1.52 |        0.33 |        1.13 |        2.27 |        1.90 |        5.49 |       4.91
  Cache L2                           |             |             |             |             |             |             |             |           
    num cache accesses               |       85555 |     1863141 |      753671 |     1451108 |     2587659 |     4654562 |     9621305 |    4598600
    num cache misses                 |       79589 |     1620025 |      344624 |      494866 |      139040 |      611425 |     1680527 |    4330899
    miss rate                        |      93.03% |      86.95% |      45.73% |      34.10% |       5.37% |      13.14% |      17.47% |     94.18%
    mpki                             |        0.06 |        1.44 |        0.22 |        0.40 |        0.12 |        0.25 |        0.96 |       4.91
  Cache L3                           |             |             |             |             |             |             |             |           
    num cache accesses               |       80112 |     1766409 |      373044 |      523876 |      154979 |      617923 |     1680532 |    4596044
    num cache misses                 |       77997 |     1127830 |      231839 |      220499 |      133960 |      588965 |     1635603 |    4320656
    miss rate                        |      97.36% |      63.85% |      62.15% |      42.09% |      86.44% |      95.31% |      97.33% |     94.01%
    mpki                             |        0.06 |        1.00 |        0.15 |        0.18 |        0.12 |        0.24 |        0.94 |       4.90
DRAM summary                         |             |             |             |             |             |             |             |           
  num dram accesses                  |    14748141 |           0 |           0 |           0 |           0 |           0 |           0 |          0
  average dram access latency (ns)   |    58604.03 |         inf |         inf |         inf |         inf |         inf |         inf |        inf
  average dram queueing delay        |    58499.03 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |       0.00
  average dram bandwidth utilization |      27.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |      0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |           
  num loads from dram                |       28690 |      504264 |       75300 |      102661 |       67502 |      227734 |        2553 |    1515848
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |          0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |          0
