                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |   845704424 |   487051269 |  2012308329 |  2437423867 |  1309837475 |  1181557991 |  1191839684 |   997042266
  Cycles                             |  1130943006 |  1130943006 |  1130943006 |  1130943006 |  1130943006 |  1130943006 |  1130943006 |  1130943006
  IPC                                |        0.75 |        0.43 |        1.78 |        2.16 |        1.16 |        1.04 |        1.05 |        0.88
  Time (ns)                          |   332630296 |   332630296 |   332630296 |   332630296 |   332630296 |   332630296 |   332630296 |   332630296
  Idle time (ns)                     |       65778 |       42028 |       99905 |       99931 |       26632 |       99999 |       99855 |       99878
  Idle time (%)                      |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    61760614 |    55703652 |   209763446 |    33514579 |    61404083 |    45994497 |    96521465 |   196163689
  num incorrect                      |     1973255 |     4791335 |      688272 |         141 |     7280980 |     2218975 |      817444 |    11264071
  misprediction rate                 |       3.10% |       7.92% |       0.33% |       0.00% |      10.60% |       4.60% |       0.84% |       5.43%
  mpki                               |        2.33 |        9.84 |        0.34 |        0.00 |        5.56 |        1.88 |        0.69 |       11.30
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |    92238651 |    33627205 |   235043666 |   108722241 |   103554610 |   130890783 |    76748028 |    87980258
    num misses                       |      803768 |         279 |         241 |           7 |          40 |         681 |        5350 |           0
    miss rate                        |       0.87% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.01% |       0.00%
    mpki                             |        0.95 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   533485551 |   170927010 |   685747297 |   879904752 |   762738891 |   703981884 |   437806634 |   590745566
    num misses                       |     1538538 |      946286 |      511505 |      149981 |      338169 |     1403062 |       79593 |        5841
    miss rate                        |       0.29% |       0.55% |       0.07% |       0.02% |       0.04% |       0.20% |       0.02% |       0.00%
    mpki                             |        1.82 |        1.94 |        0.25 |        0.06 |        0.26 |        1.19 |        0.07 |        0.01
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     2342306 |      946567 |      511746 |      149988 |      338209 |     1403743 |       84943 |        5841
    num misses                       |      465351 |      555151 |      119165 |      134893 |      292584 |       41952 |       45068 |        4542
    miss rate                        |      19.87% |      58.65% |      23.29% |      89.94% |      86.51% |       2.99% |      53.06% |      77.76%
    mpki                             |        0.55 |        1.14 |        0.06 |        0.06 |        0.22 |        0.04 |        0.04 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |    92238651 |    33627253 |   235043666 |   108722241 |   103554628 |   130890783 |    76748028 |    87980329
    num cache misses                 |     5393297 |       27428 |       14121 |       32618 |      131216 |       43798 |      714522 |        3259
    miss rate                        |       5.85% |       0.08% |       0.01% |       0.03% |       0.13% |       0.03% |       0.93% |       0.00%
    mpki                             |        6.38 |        0.06 |        0.01 |        0.01 |        0.10 |        0.04 |        0.60 |        0.00
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   533485551 |   170927892 |   685747297 |   879904752 |   762739435 |   703981884 |   437806634 |   590746942
    num cache misses                 |     3057513 |     2757525 |     3909803 |     4333320 |     6761580 |      545421 |     1600947 |      396204
    miss rate                        |       0.57% |       1.61% |       0.57% |       0.49% |       0.89% |       0.08% |       0.37% |       0.07%
    mpki                             |        3.62 |        5.66 |        1.94 |        1.78 |        5.16 |        0.46 |        1.34 |        0.40
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     8458301 |     2843738 |     3930424 |     4365945 |     6979132 |      599535 |     2316741 |      455279
    num cache misses                 |     1911036 |     1701093 |     3809704 |     4362057 |     6711131 |       86835 |     1581252 |      208196
    miss rate                        |      22.59% |      59.82% |      96.93% |      99.91% |      96.16% |      14.48% |      68.25% |      45.73%
    mpki                             |        2.26 |        3.49 |        1.89 |        1.79 |        5.12 |        0.07 |        1.33 |        0.21
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     1920404 |     1761540 |     3817529 |     4362065 |     6797571 |       97235 |     1584375 |      264012
    num cache misses                 |      179488 |     1068913 |     3724825 |     4310030 |     6704153 |       84435 |     1341730 |      206193
    miss rate                        |       9.35% |      60.68% |      97.57% |      98.81% |      98.63% |      86.84% |      84.69% |      78.10%
    mpki                             |        0.21 |        2.19 |        1.85 |        1.77 |        5.12 |        0.07 |        1.13 |        0.21
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    33810112 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |   121700.55 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |   121595.55 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      50.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |       79391 |      883886 |      115144 |      177856 |      130474 |       41067 |      115673 |       60683
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
