                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1999999851 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  1113103799 |  1113103799 |  1113103799 |  1113103799 |  1113103799 |  1113103799 |  1113103799 |  1113103799
  IPC                                |        1.80 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   327383470 |   327383470 |   327383470 |   327383470 |   327383470 |   327383470 |   327383470 |   327383470
  Idle time (ns)                     |       57154 |   327383470 |   327383470 |   327383470 |   327383470 |   327383470 |   327383470 |   327383470
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   289243511 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |    20519876 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       6.62% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |       10.26 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   246462451 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |         173 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   821239259 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |      462027 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.06% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.23 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      462200 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |        3135 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.68% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   246462451 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |        6974 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   821239259 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      101093 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.01% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.05 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |      108067 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      102653 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      94.99% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.05 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |      102653 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |       62927 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      61.30% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.03 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |       62927 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      105.16 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |        0.16 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |       37527 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
