                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1999999812 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  1475654108 |  1475654108 |  1475654108 |  1475654108 |  1475654108 |  1475654108 |  1475654108 |  1475654108
  IPC                                |        1.36 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   434015914 |   434015914 |   434015914 |   434015914 |   434015914 |   434015914 |   434015914 |   434015914
  Idle time (ns)                     |       48586 |   434015914 |   434015914 |   434015914 |   434015914 |   434015914 |   434015914 |   434015914
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    74566568 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |     1027464 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       1.36% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |        0.51 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   110913999 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   870616565 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |     3314663 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.38% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        1.66 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     3314663 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |     2650030 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      79.95% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        1.33 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   110913999 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |       50938 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.05% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.03 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   870616565 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |    15805530 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       1.82% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        7.90 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    15856468 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |    15692347 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      98.96% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        7.85 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    15692347 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |           3 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |           3 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      105.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
