                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1999999846 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  1477767048 |  1477767048 |  1477767048 |  1477767048 |  1477767048 |  1477767048 |  1477767048 |  1477767048
  IPC                                |        1.35 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   434637367 |   434637367 |   434637367 |   434637367 |   434637367 |   434637367 |   434637367 |   434637367
  Idle time (ns)                     |       56190 |   434637367 |   434637367 |   434637367 |   434637367 |   434637367 |   434637367 |   434637367
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   194692372 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |    10630370 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       5.18% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |        5.32 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   304177905 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |     1317251 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.43% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.66 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1195133535 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |     6509415 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.54% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        3.25 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     7826666 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |     1078043 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      13.77% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.54 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   304177905 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |    23778290 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       7.82% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |       11.89 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1195133535 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     3037660 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.25% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        1.52 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    26876737 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     1755702 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       6.53% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.88 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     1816588 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      775959 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      42.72% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.39 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |     1516287 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      136.15 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       33.65 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |      184672 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
