                                     | Core 0      | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  1999999605 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |   787591594 |  787591594 |  787591594 |  787591594 |  787591594 |  787591594 |  787591594 |  787591594
  IPC                                |        2.54 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   231644587 |  231644587 |  231644587 |  231644587 |  231644587 |  231644587 |  231644587 |  231644587
  Idle time (ns)                     |       21558 |  231644587 |  231644587 |  231644587 |  231644587 |  231644587 |  231644587 |  231644587
  Idle time (%)                      |        0.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |             |            |            |            |            |            |            |           
  num correct                        |    31018690 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |         141 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |       0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |        0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |             |            |            |            |            |            |            |           
  I-TLB                              |             |            |            |            |            |            |            |           
    num accesses                     |   166533929 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |           7 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |             |            |            |            |            |            |            |           
    num accesses                     |   731959144 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |      122913 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.02% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.06 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |             |            |            |            |            |            |            |           
    num accesses                     |      122920 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |      107907 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      87.79% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.05 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |             |            |            |            |            |            |            |           
  Cache L1-I                         |             |            |            |            |            |            |            |           
    num cache accesses               |   166533929 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |       55636 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.03% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        0.03 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |             |            |            |            |            |            |            |           
    num cache accesses               |   731959144 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     6924585 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.95% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        3.46 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |             |            |            |            |            |            |            |           
    num cache accesses               |     6980224 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     6977360 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      99.96% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        3.49 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |             |            |            |            |            |            |            |           
    num cache accesses               |     6977364 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     6721348 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      96.33% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        3.36 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |             |            |            |            |            |            |            |           
  num dram accesses                  |    13310554 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      102.59 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |        0.09 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      14.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |             |            |            |            |            |            |            |           
  num loads from dram                |      192458 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |           0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |           0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
