                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1999999823 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  1186968644 |  1186968644 |  1186968644 |  1186968644 |  1186968644 |  1186968644 |  1186968644 |  1186968644
  IPC                                |        1.68 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   349108425 |   349108425 |   349108425 |   349108425 |   349108425 |   349108425 |   349108425 |   349108425
  Idle time (ns)                     |       17270 |   349108425 |   349108425 |   349108425 |   349108425 |   349108425 |   349108425 |   349108425
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   189474800 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |    17735055 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       8.56% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |        8.87 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   207191170 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   880713747 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |      131248 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.01% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.07 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      131248 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |        6373 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       4.86% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   207191170 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |       34431 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.02% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.02 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   880713747 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     8441114 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.96% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        4.22 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     8477967 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      274774 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       3.24% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.14 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |      277196 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      189516 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      68.37% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.09 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |      285882 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      102.51 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |      181818 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
