                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1999999839 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  1704042327 |  1704042327 |  1704042327 |  1704042327 |  1704042327 |  1704042327 |  1704042327 |  1704042327
  IPC                                |        1.17 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   501188920 |   501188920 |   501188920 |   501188920 |   501188920 |   501188920 |   501188920 |   501188920
  Idle time (ns)                     |       56159 |   501188920 |   501188920 |   501188920 |   501188920 |   501188920 |   501188920 |   501188920
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   288708295 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |    32199042 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |      10.03% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |       16.10 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   264924356 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |          74 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   703608061 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |     1255691 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.18% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.63 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     1255765 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |      462490 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      36.83% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.23 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   264924356 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |       66531 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.03% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.03 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   703608061 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     9582449 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       1.36% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        4.79 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    10417322 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     8599803 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      82.55% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        4.30 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     9368206 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     3792019 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      40.48% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        1.90 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |     6797803 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |    47898.86 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |    47796.36 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       3.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |     1692524 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
