                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1999999861 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  1961980031 |  1961980031 |  1961980031 |  1961980031 |  1961980031 |  1961980031 |  1961980031 |  1961980031
  IPC                                |        1.02 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   577052950 |   577052950 |   577052950 |   577052950 |   577052950 |   577052950 |   577052950 |   577052950
  Idle time (ns)                     |       54600 |   577052950 |   577052950 |   577052950 |   577052950 |   577052950 |   577052950 |   577052950
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   264256228 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |    25628577 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       8.84% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |       12.81 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   202626372 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |         633 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   676400945 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |     2031956 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.30% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        1.02 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     2032589 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |     1133168 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      55.75% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.57 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   202626372 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |       91628 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.05% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.05 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   676400945 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |    11991502 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       1.77% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        6.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    12090156 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     4599295 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      38.04% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        2.30 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     4606344 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     1136957 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      24.68% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.57 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |     1166515 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      103.81 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |        1.31 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |     1117961 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
