                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  2166406294 |   717675410 |  1333064453 |  2138076336 |  2019279722 |  1047045287 |  2339701151 |  2437473817
  Cycles                             |  1890614899 |  1890614899 |  1890614899 |  1890614899 |  1890614899 |  1890614899 |  1890614899 |  1890614899
  IPC                                |        1.15 |        0.38 |        0.71 |        1.13 |        1.07 |        0.55 |        1.24 |        1.29
  Time (ns)                          |   556063206 |   556063206 |   556063206 |   556063206 |   556063206 |   556063206 |   556063206 |   556063206
  Idle time (ns)                     |       89365 |       76538 |      100077 |       64975 |       81598 |       97997 |       62761 |       89211
  Idle time (%)                      |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    58342294 |    25421198 |   157258193 |   208517129 |   262099668 |   127336124 |   263436110 |   170318913
  num incorrect                      |     2624704 |      315863 |     4968144 |    12304762 |    21000300 |    13865951 |     8747000 |    17668482
  misprediction rate                 |       4.31% |       1.23% |       3.06% |       5.57% |       7.42% |       9.82% |       3.21% |       9.40%
  mpki                               |        1.21 |        0.44 |        3.73 |        5.76 |       10.40 |       13.24 |        3.74 |        7.25
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   284708662 |    69386501 |   187052141 |   324575926 |   284083175 |   161874123 |   339872435 |   439010130
    num misses                       |        1077 |          21 |          12 |     1446923 |         286 |           8 |      394298 |     2291641
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.45% |       0.00% |       0.00% |       0.12% |       0.52%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.68 |        0.00 |        0.00 |        0.17 |        0.94
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1483950436 |   321445159 |   818430812 |  1275474833 |   766897774 |   421394226 |  1524201347 |  1301655542
    num misses                       |     1663191 |     1078141 |    14379744 |     6809537 |      957006 |     5834856 |     2979867 |     4804088
    miss rate                        |       0.11% |       0.34% |       1.76% |       0.53% |       0.12% |       1.38% |       0.20% |       0.37%
    mpki                             |        0.77 |        1.50 |       10.79 |        3.18 |        0.47 |        5.57 |        1.27 |        1.97
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     1664268 |     1078162 |    14379756 |     8256460 |      957292 |     5834864 |     3374165 |     7095729
    num misses                       |       14775 |      855270 |     7320473 |     1095838 |      369738 |     2581895 |      285534 |      774766
    miss rate                        |       0.89% |      79.33% |      50.91% |      13.27% |      38.62% |      44.25% |       8.46% |      10.92%
    mpki                             |        0.01 |        1.19 |        5.49 |        0.51 |        0.18 |        2.47 |        0.12 |        0.32
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   284708698 |    69386541 |   187052141 |   324575946 |   284083175 |   161874146 |   339872453 |   439010148
    num cache misses                 |     5493491 |       23580 |      246813 |    27271342 |       51499 |      258234 |     8486872 |    19179647
    miss rate                        |       1.93% |       0.03% |       0.13% |       8.40% |       0.02% |       0.16% |       2.50% |       4.37%
    mpki                             |        2.54 |        0.03 |        0.19 |       12.76 |        0.03 |        0.25 |        3.63 |        7.87
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1483950968 |   321445545 |   818430812 |  1275475078 |   766897774 |   421394529 |  1524201622 |  1301655765
    num cache misses                 |     7624324 |     9537223 |    28986921 |     3157235 |     8901000 |    10537390 |     5892729 |     5984178
    miss rate                        |       0.51% |       2.97% |       3.54% |       0.25% |       1.16% |       2.50% |       0.39% |       0.46%
    mpki                             |        3.52 |       13.29 |       21.74 |        1.48 |        4.41 |       10.06 |        2.52 |        2.46
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    13124157 |     9749691 |    29413609 |    30549844 |    10334278 |    12049635 |    14929476 |    25567616
    num cache misses                 |     1063417 |     9426088 |    25993650 |     2416917 |     7893370 |     8089747 |     2248162 |     2286429
    miss rate                        |       8.10% |      96.68% |      88.37% |       7.91% |      76.38% |      67.14% |      15.06% |       8.94%
    mpki                             |        0.49 |       13.13 |       19.50 |        1.13 |        3.91 |        7.73 |        0.96 |        0.94
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     1384654 |     9615001 |    26173762 |     2539579 |     9276608 |     9344136 |     2800483 |     2707514
    num cache misses                 |     1057997 |     8670425 |    11930576 |     1684788 |     5882947 |     5522406 |     1773699 |     1077568
    miss rate                        |      76.41% |      90.18% |      45.58% |      66.34% |      63.42% |      59.10% |      63.34% |      39.80%
    mpki                             |        0.49 |       12.08 |        8.95 |        0.79 |        2.91 |        5.27 |        0.76 |        0.44
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    48706118 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |     6531.39 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |     6428.89 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      21.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |      409550 |     8644230 |    11707692 |      493924 |     3152892 |     4346324 |      977588 |      628389
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
