                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7    
  Instructions                       |  1408078859 |  1124657994 |  1583648866 |  1231484333 |  1171042829 |  2437499832 |  2123643631 |  953970074
  Cycles                             |   904980731 |   904980731 |   904980731 |   904980731 |   904980731 |   904980731 |   904980731 |  904980731
  IPC                                |        1.56 |        1.24 |        1.75 |        1.36 |        1.29 |        2.69 |        2.35 |       1.05
  Time (ns)                          |   266170803 |   266170803 |   266170803 |   266170803 |   266170803 |   266170803 |   266170803 |  266170803
  Idle time (ns)                     |       70945 |       72000 |       54752 |       91529 |       75706 |       73905 |      100002 |      66348
  Idle time (%)                      |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |       0.0%
Branch predictor stats               |             |             |             |             |             |             |             |           
  num correct                        |   203707432 |   138495981 |    30891614 |   164262701 |   111550234 |   209514834 |    10681719 |   62645060
  num incorrect                      |    14343360 |     7773853 |     2730846 |     8085466 |    14394444 |       13888 |         104 |     125159
  misprediction rate                 |       6.58% |       5.31% |       8.12% |       4.69% |      11.43% |       0.01% |       0.00% |      0.20%
  mpki                               |       10.19 |        6.91 |        1.72 |        6.57 |       12.29 |        0.01 |        0.00 |       0.13
TLB Summary                          |             |             |             |             |             |             |             |           
  I-TLB                              |             |             |             |             |             |             |             |           
    num accesses                     |   218413924 |   156239295 |   284410271 |   155192492 |   124298198 |   320790805 |   153223077 |   84614127
    num misses                       |          96 |           2 |       26627 |          29 |           0 |         164 |           8 |          6
    miss rate                        |       0.00% |       0.00% |       0.01% |       0.00% |       0.00% |       0.00% |       0.00% |      0.00%
    mpki                             |        0.00 |        0.00 |        0.02 |        0.00 |        0.00 |        0.00 |        0.00 |       0.00
  D-TLB                              |             |             |             |             |             |             |             |           
    num accesses                     |   578173996 |   388253811 |  1013447325 |   551188421 |   481470901 |  1003003759 |   864986694 |  466370538
    num misses                       |      323855 |      368744 |      101372 |      144538 |       44655 |      502772 |     2632681 |     171527
    miss rate                        |       0.06% |       0.09% |       0.01% |       0.03% |       0.01% |       0.05% |       0.30% |      0.04%
    mpki                             |        0.23 |        0.33 |        0.06 |        0.12 |        0.04 |        0.21 |        1.24 |       0.18
  L2 TLB                             |             |             |             |             |             |             |             |           
    num accesses                     |      323951 |      368746 |      127999 |      144567 |       44655 |      502936 |     2632689 |     171533
    num misses                       |        1714 |      218304 |       13683 |       19223 |        2926 |       18063 |       69804 |     171480
    miss rate                        |       0.53% |      59.20% |      10.69% |      13.30% |       6.55% |       3.59% |       2.65% |     99.97%
    mpki                             |        0.00 |        0.19 |        0.01 |        0.02 |        0.00 |        0.01 |        0.03 |       0.18
Cache Summary                        |             |             |             |             |             |             |             |           
  Cache L1-I                         |             |             |             |             |             |             |             |           
    num cache accesses               |   218413924 |   156239364 |   284410331 |   155192492 |   124298242 |   320790805 |   153223077 |   84614131
    num cache misses                 |       14704 |        6490 |      269701 |        8385 |       22996 |        9209 |       42827 |      18006
    miss rate                        |       0.01% |       0.00% |       0.09% |       0.01% |       0.02% |       0.00% |       0.03% |      0.02%
    mpki                             |        0.01 |        0.01 |        0.17 |        0.01 |        0.02 |        0.00 |        0.02 |       0.02
  Cache L1-D                         |             |             |             |             |             |             |             |           
    num cache accesses               |   578173996 |   388254603 |  1013448286 |   551188421 |   481471806 |  1003004378 |   864986694 |  466371342
    num cache misses                 |      139951 |     1913344 |      995474 |     2076832 |     4015044 |     8853153 |    11215873 |    8842263
    miss rate                        |       0.02% |       0.49% |       0.10% |       0.38% |       0.83% |       0.88% |       1.30% |      1.90%
    mpki                             |        0.10 |        1.70 |        0.63 |        1.69 |        3.43 |        3.63 |        5.28 |       9.27
  Cache L2                           |             |             |             |             |             |             |             |           
    num cache accesses               |      155348 |     2076816 |     1311850 |     2135191 |     4055942 |     8872884 |    11258707 |    9125396
    num cache misses                 |      150639 |     1745530 |      639358 |      726919 |      268770 |     1215386 |     3791878 |    8858311
    miss rate                        |      96.97% |      84.05% |      48.74% |      34.04% |       6.63% |      13.70% |      33.68% |     97.07%
    mpki                             |        0.11 |        1.55 |        0.40 |        0.59 |        0.23 |        0.50 |        1.79 |       9.29
  Cache L3                           |             |             |             |             |             |             |             |           
    num cache accesses               |      151332 |     1902512 |      686252 |      781645 |      293938 |     1228112 |     3791885 |    9123461
    num cache misses                 |      147289 |     1313340 |      462976 |      417276 |      259427 |     1167580 |     3720169 |    8838852
    miss rate                        |      97.33% |      69.03% |      67.46% |      53.38% |      88.26% |      95.07% |      98.11% |     96.88%
    mpki                             |        0.10 |        1.17 |        0.29 |        0.34 |        0.22 |        0.48 |        1.75 |       9.27
DRAM summary                         |             |             |             |             |             |             |             |           
  num dram accesses                  |    28594618 |           0 |           0 |           0 |           0 |           0 |           0 |          0
  average dram access latency (ns)   |   107679.70 |         inf |         inf |         inf |         inf |         inf |         inf |        inf
  average dram queueing delay        |   107577.20 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |       0.00
  average dram bandwidth utilization |      26.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |      0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |           
  num loads from dram                |       55070 |      584188 |      134506 |      202339 |      129748 |      443762 |        3750 |    3228098
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |          0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |          0
