                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |   537533102 |   665920201 |  2128051571 |  2437423867 |  1381091130 |  1779364962 |  1601007254 |  1117483540
  Cycles                             |  1403907926 |  1403907926 |  1403907926 |  1403907926 |  1403907926 |  1403907926 |  1403907926 |  1403907926
  IPC                                |        0.38 |        0.47 |        1.52 |        1.74 |        0.98 |        1.27 |        1.14 |        0.80
  Time (ns)                          |   412914096 |   412914096 |   412914096 |   412914096 |   412914096 |   412914096 |   412914096 |   412914096
  Idle time (ns)                     |      100059 |       18824 |      100048 |      100104 |       15337 |      100166 |      100078 |      100032
  Idle time (%)                      |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    38103234 |    79203157 |   218635758 |    33514579 |    64560491 |    68897457 |   109658675 |   219858887
  num incorrect                      |     1298352 |     6981106 |      822701 |         141 |     7695215 |     3312159 |      850894 |    12626537
  misprediction rate                 |       3.30% |       8.10% |       0.37% |       0.00% |      10.65% |       4.59% |       0.77% |       5.43%
  mpki                               |        2.42 |       10.48 |        0.39 |        0.00 |        5.57 |        1.86 |        0.53 |       11.30
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |    75448733 |    71108971 |   338952047 |   198345690 |   162327820 |   251407744 |   162567503 |   143614393
    num misses                       |      554390 |         323 |         241 |           7 |          40 |         691 |        6583 |           0
    miss rate                        |       0.73% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        1.03 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   339254496 |   234405621 |   744924694 |   879904752 |   803551784 |  1060744689 |   609761825 |   662111529
    num misses                       |     1003265 |     1166418 |      511901 |      149981 |      347005 |     2096857 |      107563 |        6576
    miss rate                        |       0.30% |       0.50% |       0.07% |       0.02% |       0.04% |       0.20% |       0.02% |       0.00%
    mpki                             |        1.87 |        1.75 |        0.24 |        0.06 |        0.25 |        1.18 |        0.07 |        0.01
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     1557655 |     1166741 |      512142 |      149988 |      347045 |     2097548 |      114146 |        6576
    num misses                       |      253065 |      700512 |      119561 |      134893 |      298575 |       61708 |       60206 |        5085
    miss rate                        |      16.25% |      60.04% |      23.35% |      89.94% |      86.03% |       2.94% |      52.74% |      77.33%
    mpki                             |        0.47 |        1.05 |        0.06 |        0.06 |        0.22 |        0.03 |        0.04 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |    75448733 |    71108971 |   338952047 |   198345690 |   162327829 |   251407744 |   162567503 |   143614393
    num cache misses                 |     3904407 |       50737 |       20849 |       60860 |      104008 |       47072 |     1093741 |        4364
    miss rate                        |       5.17% |       0.07% |       0.01% |       0.03% |       0.06% |       0.02% |       0.67% |       0.00%
    mpki                             |        7.26 |        0.08 |        0.01 |        0.02 |        0.08 |        0.03 |        0.68 |        0.00
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   339254496 |   234405621 |   744924694 |   879904752 |   803552036 |  1060744689 |   609761825 |   662111529
    num cache misses                 |     2299117 |     5535223 |     7834659 |     8656060 |    13334964 |      222533 |     3931781 |      665199
    miss rate                        |       0.68% |       2.36% |       1.05% |       0.98% |       1.66% |       0.02% |       0.64% |       0.10%
    mpki                             |        4.28 |        8.31 |        3.68 |        3.55 |        9.66 |        0.13 |        2.46 |        0.60
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     6207882 |     5695624 |     7868546 |     8716973 |    13535312 |      279017 |     5116852 |      756300
    num cache misses                 |      775072 |     3022963 |     7629271 |     8713030 |    13315989 |      143177 |     3779860 |      423191
    miss rate                        |      12.49% |      53.08% |      96.96% |      99.95% |      98.38% |      51.31% |      73.87% |      55.96%
    mpki                             |        1.44 |        4.54 |        3.59 |        3.57 |        9.64 |        0.08 |        2.36 |        0.38
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |      782142 |     3136990 |     7646630 |     8713085 |    13412441 |      152713 |     3874708 |      509928
    num cache misses                 |      166636 |     1911365 |     7426989 |     8620217 |    13311037 |      117929 |     3223684 |      417249
    miss rate                        |      21.31% |      60.93% |      97.13% |      98.93% |      99.24% |      77.22% |      83.20% |      81.83%
    mpki                             |        0.31 |        2.87 |        3.49 |        3.54 |        9.64 |        0.07 |        2.01 |        0.37
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    67777202 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |   -97474.15 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |   -97576.65 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      41.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |       69961 |     1510202 |      227047 |      349925 |      174020 |       48821 |      483495 |       95856
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
