                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1999999838 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  1583360967 |  1583360967 |  1583360967 |  1583360967 |  1583360967 |  1583360967 |  1583360967 |  1583360967
  IPC                                |        1.26 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   465694402 |   465694402 |   465694402 |   465694402 |   465694402 |   465694402 |   465694402 |   465694402
  Idle time (ns)                     |       53713 |   465694402 |   465694402 |   465694402 |   465694402 |   465694402 |   465694402 |   465694402
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    88129041 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |    13091307 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |      12.93% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |        6.55 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   206643711 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1095269656 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |      114098 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.01% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.06 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      114098 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |       49407 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      43.30% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.02 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   206643711 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      145792 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.07% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.07 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1095269656 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      806326 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.07% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.40 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |      952302 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      400807 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      42.09% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.20 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |      401313 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      247873 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      61.77% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.12 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |      406496 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      125.62 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       23.12 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |      107853 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
