                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  2222620701 |   719880208 |  1337582631 |  2158143111 |  2019866682 |  1046570702 |  2341294169 |  2437499844
  Cycles                             |  1892524985 |  1892524985 |  1892524985 |  1892524985 |  1892524985 |  1892524985 |  1892524985 |  1892524985
  IPC                                |        1.17 |        0.38 |        0.71 |        1.14 |        1.07 |        0.55 |        1.24 |        1.29
  Time (ns)                          |   556624996 |   556624996 |   556624996 |   556624996 |   556624996 |   556624996 |   556624996 |   556624996
  Idle time (ns)                     |       92938 |       84449 |       90340 |       84459 |       90252 |       74798 |       72684 |       81567
  Idle time (%)                      |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    59754251 |    25491420 |   157711474 |   210496027 |   262207968 |   127276518 |   263602836 |   170321001
  num incorrect                      |     2686008 |      316349 |     4997920 |    12386626 |    21013976 |    13858232 |     8769207 |    17668664
  misprediction rate                 |       4.30% |       1.23% |       3.07% |       5.56% |       7.42% |       9.82% |       3.22% |       9.40%
  mpki                               |        1.21 |        0.44 |        3.74 |        5.74 |       10.40 |       13.24 |        3.75 |        7.25
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   292103332 |    69585715 |   187687117 |   327623220 |   284144435 |   161799854 |   340103340 |   439014833
    num misses                       |        1077 |          21 |          12 |     1446932 |         286 |           8 |      395904 |     2291658
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.44% |       0.00% |       0.00% |       0.12% |       0.52%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.67 |        0.00 |        0.00 |        0.17 |        0.94
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1523240595 |   322438029 |   821473500 |  1287488301 |   767091011 |   421208140 |  1525139077 |  1301668856
    num misses                       |     1709847 |     1081926 |    14436435 |     6865571 |      957304 |     5831005 |     2985360 |     4804129
    miss rate                        |       0.11% |       0.34% |       1.76% |       0.53% |       0.12% |       1.38% |       0.20% |       0.37%
    mpki                             |        0.77 |        1.50 |       10.79 |        3.18 |        0.47 |        5.57 |        1.28 |        1.97
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     1710924 |     1081947 |    14436447 |     8312503 |      957590 |     5831013 |     3381264 |     7095787
    num misses                       |       15029 |      858283 |     7349112 |     1097185 |      369899 |     2579901 |      286292 |      774767
    miss rate                        |       0.88% |      79.33% |      50.91% |      13.20% |      38.63% |      44.24% |       8.47% |      10.92%
    mpki                             |        0.01 |        1.19 |        5.49 |        0.51 |        0.18 |        2.47 |        0.12 |        0.32
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   292103198 |    69585715 |   187687117 |   327623220 |   284144435 |   161799774 |   340103340 |   439014833
    num cache misses                 |     4431640 |       23584 |      253136 |    25453358 |       50901 |      256135 |     6906373 |    18886056
    miss rate                        |       1.52% |       0.03% |       0.13% |       7.77% |       0.02% |       0.16% |       2.03% |       4.30%
