                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7    
  Instructions                       |  1400367509 |  1123540459 |  1559889920 |  1247987893 |  1196530956 |  2437529832 |  2113543889 |  973811531
  Cycles                             |   926405081 |   926405081 |   926405081 |   926405081 |   926405081 |   926405081 |   926405081 |  926405081
  IPC                                |        1.51 |        1.21 |        1.68 |        1.35 |        1.29 |        2.63 |        2.28 |       1.05
  Time (ns)                          |   272472083 |   272472083 |   272472083 |   272472083 |   272472083 |   272472083 |   272472083 |  272472083
  Idle time (ns)                     |       88700 |       73897 |       94432 |       93965 |       79779 |       65083 |       91603 |      23899
  Idle time (%)                      |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |       0.0%
Branch predictor stats               |             |             |             |             |             |             |             |           
  num correct                        |   202593861 |   138371160 |    30140037 |   165296168 |   113988917 |   209518666 |    10591085 |   62991323
  num incorrect                      |    14262496 |     7767157 |     2651561 |     8239555 |    14592677 |       13888 |         104 |     126155
  misprediction rate                 |       6.58% |       5.31% |       8.09% |       4.75% |      11.35% |       0.01% |       0.00% |      0.20%
  mpki                               |       10.18 |        6.91 |        1.70 |        6.60 |       12.20 |        0.01 |        0.00 |       0.13
TLB Summary                          |             |             |             |             |             |             |             |           
  I-TLB                              |             |             |             |             |             |             |             |           
    num accesses                     |   217219671 |   156066068 |   279902956 |   156513891 |   126900886 |   320795786 |   152552143 |   85955895
    num misses                       |          96 |           2 |       26571 |          29 |           0 |         164 |           8 |          6
    miss rate                        |       0.00% |       0.00% |       0.01% |       0.00% |       0.00% |       0.00% |       0.00% |      0.00%
    mpki                             |        0.00 |        0.00 |        0.02 |        0.00 |        0.00 |        0.00 |        0.00 |       0.00
  D-TLB                              |             |             |             |             |             |             |             |           
    num accesses                     |   575011840 |   387949536 |   998835961 |   560553479 |   492851204 |  1003018819 |   861322105 |  475376835
    num misses                       |      322770 |      368718 |       99255 |      145622 |       45439 |      502772 |     2632404 |     173533
    miss rate                        |       0.06% |       0.10% |       0.01% |       0.03% |       0.01% |       0.05% |       0.31% |      0.04%
    mpki                             |        0.23 |        0.33 |        0.06 |        0.12 |        0.04 |        0.21 |        1.25 |       0.18
  L2 TLB                             |             |             |             |             |             |             |             |           
    num accesses                     |      322866 |      368720 |      125826 |      145651 |       45439 |      502936 |     2632412 |     173539
    num misses                       |        1711 |      218284 |       13309 |       19246 |        2999 |       18063 |       69596 |     173486
    miss rate                        |       0.53% |      59.20% |      10.58% |      13.21% |       6.60% |       3.59% |       2.64% |     99.97%
    mpki                             |        0.00 |        0.19 |        0.01 |        0.02 |        0.00 |        0.01 |        0.03 |       0.18
Cache Summary                        |             |             |             |             |             |             |             |           
  Cache L1-I                         |             |             |             |             |             |             |             |           
    num cache accesses               |   217219671 |   156066068 |   279902868 |   156513850 |   126900886 |   320795786 |   152552143 |   85955892
    num cache misses                 |     1580419 |       12681 |      521081 |       46813 |      204539 |       31295 |      151952 |      36458
    miss rate                        |       0.73% |       0.01% |       0.19% |       0.03% |       0.16% |       0.01% |       0.10% |      0.04%
    mpki                             |        1.13 |        0.01 |        0.33 |        0.04 |        0.17 |        0.01 |        0.07 |       0.04
  Cache L1-D                         |             |             |             |             |             |             |             |           
    num cache accesses               |   575012870 |   387949536 |   998838686 |   560555168 |   492851392 |  1003018819 |   861323193 |  475378135
    num cache misses                 |      151027 |     2314970 |     1028151 |     2413799 |     7993992 |     8926599 |    12125165 |    8975967
    miss rate                        |       0.03% |       0.60% |       0.10% |       0.43% |       1.62% |       0.89% |       1.41% |      1.89%
    mpki                             |        0.11 |        2.06 |        0.66 |        1.93 |        6.68 |        3.66 |        5.74 |       9.22
  Cache L2                           |             |             |             |             |             |             |             |           
    num cache accesses               |     1732894 |     2528552 |     1624152 |     2515323 |     8231199 |     8968521 |    12277081 |    9277551
    num cache misses                 |      175611 |     1830785 |      982685 |     1091459 |      509116 |     1479455 |     6375657 |    9007292
    miss rate                        |      10.13% |      72.40% |      60.50% |      43.39% |       6.19% |      16.50% |      51.93% |     97.09%
    mpki                             |        0.13 |        1.63 |        0.63 |        0.87 |        0.43 |        0.61 |        3.02 |       9.25
  Cache L3                           |             |             |             |             |             |             |             |           
    num cache accesses               |      177059 |     2031686 |     1058047 |     1151843 |      549684 |     1490388 |     6375676 |    9272427
    num cache misses                 |      172725 |     1427044 |      538448 |      457482 |      350798 |     1239456 |     3711166 |    8967480
    miss rate                        |      97.55% |      70.24% |      50.89% |      39.72% |      63.82% |      83.16% |      58.21% |     96.71%
    mpki                             |        0.12 |        1.27 |        0.35 |        0.37 |        0.29 |        0.51 |        1.76 |       9.21
DRAM summary                         |             |             |             |             |             |             |             |           
  num dram accesses                  |    29219032 |           0 |           0 |           0 |           0 |           0 |           0 |          0
  average dram access latency (ns)   |    52316.80 |         inf |         inf |         inf |         inf |         inf |         inf |        inf
  average dram queueing delay        |    52214.30 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |       0.00
  average dram bandwidth utilization |      26.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |      0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |           
  num loads from dram                |       66694 |      695160 |      228210 |      238734 |      154168 |      511267 |        9699 |    3354836
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |          0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |          0
