                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |   835084379 |   461762438 |  2365354926 |  2437423867 |  1227670157 |  1156195610 |  1398509463 |   821406568
  Cycles                             |  1203609506 |  1203609506 |  1203609506 |  1203609506 |  1203609506 |  1203609506 |  1203609506 |  1203609506
  IPC                                |        0.69 |        0.38 |        1.97 |        2.03 |        1.02 |        0.96 |        1.16 |        0.68
  Time (ns)                          |   354002796 |   354002796 |   354002796 |   354002796 |   354002796 |   354002796 |   354002796 |   354002796
  Idle time (ns)                     |       99971 |       18832 |       99970 |       99970 |       14311 |      100060 |       99951 |       99937
  Idle time (%)                      |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    60999616 |    52659795 |   234415792 |    33514579 |    57757851 |    45022438 |   104609522 |   161603256
  num incorrect                      |     1948451 |     4589487 |      931723 |         141 |     6794782 |     2174152 |      850326 |     9282142
  misprediction rate                 |       3.10% |       8.02% |       0.40% |       0.00% |      10.53% |       4.61% |       0.81% |       5.43%
  mpki                               |        2.33 |        9.94 |        0.39 |        0.00 |        5.53 |        1.88 |        0.61 |       11.30
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   115210742 |    50382313 |   360358111 |   198345690 |   144885752 |   163351739 |   144304653 |   105555829
    num misses                       |      793073 |         277 |         308 |           7 |          40 |         681 |        6545 |           0
    miss rate                        |       0.69% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.95 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   526800254 |   164104905 |   876058913 |   879904752 |   715574568 |   688840072 |   528396148 |   486675792
    num misses                       |     1517413 |      892216 |      529670 |      149981 |      328828 |     1373703 |       96316 |        4683
    miss rate                        |       0.29% |       0.54% |       0.06% |       0.02% |       0.05% |       0.20% |       0.02% |       0.00%
    mpki                             |        1.82 |        1.93 |        0.22 |        0.06 |        0.27 |        1.19 |        0.07 |        0.01
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     2310486 |      892493 |      529978 |      149988 |      328868 |     1374384 |      102861 |        4683
    num misses                       |      458689 |      502560 |      137252 |      134893 |      286303 |       41041 |       52889 |        3748
    miss rate                        |      19.85% |      56.31% |      25.90% |      89.94% |      87.06% |       2.99% |      51.42% |      80.03%
    mpki                             |        0.55 |        1.09 |        0.06 |        0.06 |        0.23 |        0.04 |        0.04 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   115210742 |    50382313 |   360358111 |   198345690 |   144885745 |   163351739 |   144304653 |   105555829
    num cache misses                 |    11008942 |       53129 |       47886 |      121964 |     4190522 |     2370477 |     1585257 |        5286
    miss rate                        |       9.56% |       0.11% |       0.01% |       0.06% |       2.89% |       1.45% |       1.10% |       0.01%
    mpki                             |       13.18 |        0.12 |        0.02 |        0.05 |        3.41 |        2.05 |        1.13 |        0.01
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   526800254 |   164104905 |   876058913 |   879904752 |   715574964 |   688840072 |   528396148 |   486675792
    num cache misses                 |     5118967 |     4449431 |     8976011 |    18768198 |    13724916 |     3967224 |     3678357 |      810907
    miss rate                        |       0.97% |       2.71% |       1.02% |       2.13% |       1.92% |       0.58% |       0.70% |       0.17%
    mpki                             |        6.13 |        9.64 |        3.79 |        7.70 |       11.18 |        3.43 |        2.63 |        0.99
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    16135176 |     4662861 |     9058360 |    18890174 |    18004845 |     6351504 |     5335358 |      899729
    num cache misses                 |     4618035 |     2604744 |     8814460 |     8789657 |    13434314 |      185452 |     3591378 |      343579
    miss rate                        |      28.62% |      55.86% |      97.31% |      46.53% |      74.61% |       2.92% |      67.31% |      38.19%
    mpki                             |        5.53 |        5.64 |        3.73 |        3.61 |       10.94 |        0.16 |        2.57 |        0.42
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     4627768 |     2769642 |     8850660 |     8789671 |    13524002 |      199490 |     3668238 |      427115
    num cache misses                 |      283131 |     1835678 |     8567906 |     8621575 |    13424060 |      176288 |     3133633 |      330094
    miss rate                        |       6.12% |      66.28% |      96.81% |      98.09% |      99.26% |      88.37% |      85.43% |      77.28%
    mpki                             |        0.34 |        3.98 |        3.62 |        3.54 |       10.93 |        0.15 |        2.24 |        0.40
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    69640021 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |    28367.34 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |    28264.84 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      49.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |      117029 |     1449658 |      679340 |      361291 |      195307 |       80192 |      404652 |       98516
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
