                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1999999852 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  1141859299 |  1141859299 |  1141859299 |  1141859299 |  1141859299 |  1141859299 |  1141859299 |  1141859299
  IPC                                |        1.75 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   335840970 |   335840970 |   335840970 |   335840970 |   335840970 |   335840970 |   335840970 |   335840970
  Idle time (ns)                     |       57149 |   335840970 |   335840970 |   335840970 |   335840970 |   335840970 |   335840970 |   335840970
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   289243511 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |    20519876 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       6.62% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |       10.26 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   310075886 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |         173 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   821272522 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |      462027 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.06% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.23 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      462200 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |        3135 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.68% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   310075886 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     2230531 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.72% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        1.12 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   821272522 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      203304 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.02% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.10 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     2433835 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      207740 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       8.54% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.10 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |      207740 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      125867 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      60.59% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.06 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |      161118 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |     1450.36 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |     1347.86 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |       75682 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
