                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1999999832 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  1115117451 |  1115117451 |  1115117451 |  1115117451 |  1115117451 |  1115117451 |  1115117451 |  1115117451
  IPC                                |        1.79 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   327975721 |   327975721 |   327975721 |   327975721 |   327975721 |   327975721 |   327975721 |   327975721
  Idle time (ns)                     |       56552 |   327975721 |   327975721 |   327975721 |   327975721 |   327975721 |   327975721 |   327975721
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    74016679 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |      843747 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       1.13% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |        0.42 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   192019897 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |        3927 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   852861483 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |      218820 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.03% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.11 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      222747 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |       43019 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      19.31% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.02 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   192019897 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      506575 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.26% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.25 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   852861483 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     5836514 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.68% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        2.92 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     6577725 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     3816966 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      58.03% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        1.91 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     4051765 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     1556231 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      38.41% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.78 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |     2810092 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      102.78 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |        0.28 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       2.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |      738291 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
