                                     | Core 0      | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  1999999825 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |   791081317 |  791081317 |  791081317 |  791081317 |  791081317 |  791081317 |  791081317 |  791081317
  IPC                                |        2.53 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   232670976 |  232670976 |  232670976 |  232670976 |  232670976 |  232670976 |  232670976 |  232670976
  Idle time (ns)                     |       56643 |  232670976 |  232670976 |  232670976 |  232670976 |  232670976 |  232670976 |  232670976
  Idle time (%)                      |        0.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |             |            |            |            |            |            |            |           
  num correct                        |   193269340 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |      720730 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |       0.37% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |        0.36 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |             |            |            |            |            |            |            |           
  I-TLB                              |             |            |            |            |            |            |            |           
    num accesses                     |   293426326 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |         238 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |             |            |            |            |            |            |            |           
    num accesses                     |   770809070 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |      497668 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.06% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.25 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |             |            |            |            |            |            |            |           
    num accesses                     |      497906 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |      118446 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      23.79% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.06 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |             |            |            |            |            |            |            |           
  Cache L1-I                         |             |            |            |            |            |            |            |           
    num cache accesses               |   293426326 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |       25408 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.01% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        0.01 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |             |            |            |            |            |            |            |           
    num cache accesses               |   770809070 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     7558975 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.98% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        3.78 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |             |            |            |            |            |            |            |           
    num cache accesses               |     7599163 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     7566962 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      99.58% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        3.78 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |             |            |            |            |            |            |            |           
    num cache accesses               |     7581749 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     6146171 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      81.07% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        3.07 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |             |            |            |            |            |            |            |           
  num dram accesses                  |    12106590 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      103.07 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |        0.57 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      13.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |             |            |            |            |            |            |            |           
  num loads from dram                |      440490 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |           0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |           0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
