                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1999999835 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  1857031235 |  1857031235 |  1857031235 |  1857031235 |  1857031235 |  1857031235 |  1857031235 |  1857031235
  IPC                                |        1.08 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   546185658 |   546185658 |   546185658 |   546185658 |   546185658 |   546185658 |   546185658 |   546185658
  Idle time (ns)                     |       56361 |   546185658 |   546185658 |   546185658 |   546185658 |   546185658 |   546185658 |   546185658
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   240150288 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |    20589639 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       7.90% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |       10.29 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   263513375 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |           3 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   563308281 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |      211717 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.04% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.11 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      211720 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |      185834 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      87.77% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.09 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   263513375 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |       15420 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.01% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.01 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   563308281 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     4161699 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.74% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        2.08 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     4605051 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     2693126 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      58.48% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        1.35 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     3121058 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     2114693 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      67.76% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        1.06 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |     3370942 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      142.48 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       39.98 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       1.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |     1274450 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
