                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |   852929636 |   778750024 |  1405391756 |  1907067293 |  2100160107 |  1048595445 |  2331963767 |  2437469843
  Cycles                             |  2173639909 |  2173639909 |  2173639909 |  2173639909 |  2173639909 |  2173639909 |  2173639909 |  2173639909
  IPC                                |        0.39 |        0.36 |        0.65 |        0.88 |        0.97 |        0.48 |        1.07 |        1.12
  Time (ns)                          |   639305856 |   639305856 |   639305856 |   639305856 |   639305856 |   639305856 |   639305856 |   639305856
  Idle time (ns)                     |       93343 |       90191 |       99245 |       81568 |       81570 |       57320 |       78626 |       90451
  Idle time (%)                      |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    25495215 |    27722861 |   164427766 |   185285879 |   276694724 |   127521760 |   262611887 |   170318676
  num incorrect                      |     1169652 |      350835 |     5453569 |    11470114 |    22323804 |    13885554 |     8645259 |    17668463
  misprediction rate                 |       4.39% |       1.25% |       3.21% |       5.83% |       7.47% |       9.82% |       3.19% |       9.40%
  mpki                               |        1.37 |        0.45 |        3.88 |        6.01 |       10.63 |       13.24 |        3.71 |        7.25
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   111799670 |    75095642 |   197215509 |   289461436 |   294465544 |   162114512 |   338747498 |   439009432
    num misses                       |        1077 |          21 |          12 |     1427719 |         289 |           8 |      386724 |     2291638
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.49% |       0.00% |       0.00% |       0.11% |       0.52%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.75 |        0.00 |        0.00 |        0.17 |        0.94
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   564295374 |   348610228 |   867418504 |  1137280532 |   794869249 |   422034009 |  1519618807 |  1301653327
    num misses                       |      528178 |     1179355 |    15240065 |     6111312 |     1078719 |     5844888 |     2953084 |     4804079
    miss rate                        |       0.09% |       0.34% |       1.76% |       0.54% |       0.14% |       1.38% |       0.19% |       0.37%
    mpki                             |        0.62 |        1.51 |       10.84 |        3.20 |        0.51 |        5.57 |        1.27 |        1.97
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      529255 |     1179376 |    15240077 |     7539031 |     1079008 |     5844896 |     3339808 |     7095717
    num misses                       |        8714 |      936177 |     7757848 |     1064311 |      414490 |     2586871 |      281930 |      774766
    miss rate                        |       1.65% |      79.38% |      50.90% |      14.12% |      38.41% |      44.26% |       8.44% |      10.92%
    mpki                             |        0.01 |        1.20 |        5.52 |        0.56 |        0.20 |        2.47 |        0.12 |        0.32
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   111799576 |    75095561 |   197215509 |   289461436 |   294465544 |   162114452 |   338747427 |   439009432
    num cache misses                 |    53539741 |       48111 |      300239 |    56615958 |      108277 |      594961 |    24158887 |    36196299
    miss rate                        |      47.89% |       0.06% |       0.15% |      19.56% |       0.04% |       0.37% |       7.13% |       8.24%
    mpki                             |       62.77 |        0.06 |        0.21 |       29.69 |        0.05 |        0.57 |       10.36 |       14.85
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   564297838 |   348612327 |   867418504 |  1137282540 |   794870491 |   422035606 |  1519620963 |  1301653327
    num cache misses                 |     2833459 |    10443900 |    33529848 |     7269714 |     9869391 |    12101829 |     8842806 |    11318622
    miss rate                        |       0.50% |       3.00% |       3.87% |       0.64% |       1.24% |       2.87% |       0.58% |       0.87%
    mpki                             |        3.32 |       13.41 |       23.86 |        3.81 |        4.70 |       11.54 |        3.79 |        4.64
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    56385928 |    10693014 |    34031612 |    64025069 |    11984773 |    14007405 |    33602263 |    48044879
    num cache misses                 |     1288867 |    10413828 |    29308672 |     6175830 |     8862559 |     9519129 |     3984062 |     6126483
    miss rate                        |       2.29% |      97.39% |      86.12% |       9.65% |      73.95% |      67.96% |      11.86% |      12.75%
    mpki                             |        1.51 |       13.37 |       20.85 |        3.24 |        4.22 |        9.08 |        1.71 |        2.51
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     1396706 |    10614998 |    29510741 |     6315801 |    10871044 |    10830084 |     4587769 |     6671255
    num cache misses                 |      937114 |     9978492 |    14375437 |     2075965 |     7692251 |     6651235 |     2225073 |     1646029
    miss rate                        |      67.09% |      94.00% |      48.71% |      32.87% |      70.76% |      61.41% |      48.50% |      24.67%
    mpki                             |        1.10 |       12.81 |       10.23 |        1.09 |        3.66 |        6.34 |        0.95 |        0.68
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    58183261 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |     3537.97 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |     3435.47 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      22.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |      166958 |     9948453 |    14150069 |      661775 |     4127073 |     5419885 |     1212204 |     1049388
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
