                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  389953199 |  524333013 |  457136778 |  486139869 |  227689616 |  720542428 |  571195563 |  622990651
  Cycles                             |  352850655 |  352850655 |  352850655 |  352850655 |  352850655 |  352850655 |  352850655 |  352850655
  IPC                                |       1.11 |       1.49 |       1.30 |       1.38 |       0.65 |       2.04 |       1.62 |       1.77
  Time (ns)                          |  103779605 |  103779605 |  103779605 |  103779605 |  103779605 |  103779605 |  103779605 |  103779605
  Idle time (ns)                     |      37634 |      36564 |      63785 |      49417 |       3091 |      52245 |      55223 |      17797
  Idle time (%)                      |       0.0% |       0.0% |       0.1% |       0.0% |       0.0% |       0.1% |       0.1% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   56497090 |   56846874 |    5872772 |   85388079 |   19252430 |   96605305 |    8798084 |   56208374
  num incorrect                      |    3849104 |     410034 |     368253 |    3125277 |    2747900 |      10547 |     242980 |      99889
  misprediction rate                 |      6.38% |      0.72% |      5.90% |      3.53% |     12.49% |      0.01% |      2.69% |      0.18%
  mpki                               |       9.87 |       0.78 |       0.81 |       6.43 |      12.07 |       0.01 |       0.43 |       0.16
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   60636780 |   88571951 |   77576294 |   76020797 |   23523599 |  119434457 |   42832570 |   62692881
    num misses                       |         50 |          2 |      42124 |          9 |          9 |        160 |        173 |          6
    miss rate                        |      0.00% |      0.00% |      0.05% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.09 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  160299725 |  232413689 |  294840006 |  173331844 |  108769449 |  362519965 |  228344632 |  316158824
    num misses                       |      89006 |     359084 |      36867 |       1689 |      62842 |       8455 |     616348 |     147326
    miss rate                        |      0.06% |      0.15% |      0.01% |      0.00% |      0.06% |      0.00% |      0.27% |      0.05%
    mpki                             |       0.23 |       0.68 |       0.08 |       0.00 |       0.28 |       0.01 |       1.08 |       0.24
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      89056 |     359086 |      78991 |       1698 |      62851 |       8615 |     616521 |     147332
    num misses                       |        363 |     196332 |       7452 |       1569 |      56621 |       8359 |      17620 |     147279
    miss rate                        |      0.41% |     54.68% |      9.43% |     92.40% |     90.09% |     97.03% |      2.86% |     99.96%
    mpki                             |       0.00 |       0.37 |       0.02 |       0.00 |       0.25 |       0.01 |       0.03 |       0.24
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   60636780 |   88571855 |   77576225 |   76020797 |   23523598 |  119434391 |   42832570 |   62692879
    num cache misses                 |     449979 |      10533 |     737283 |      62004 |      37711 |      14068 |     200015 |      21900
    miss rate                        |      0.74% |      0.01% |      0.95% |      0.08% |      0.16% |      0.01% |      0.47% |      0.03%
    mpki                             |       1.15 |       0.02 |       1.61 |       0.13 |       0.17 |       0.02 |       0.35 |       0.04
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  160299725 |  232414759 |  294842493 |  173333961 |  108769649 |  362521830 |  228344632 |  316159369
    num cache misses                 |      49722 |    1607911 |     203695 |     110765 |    4697772 |     542727 |    5158673 |    7298284
    miss rate                        |      0.03% |      0.69% |      0.07% |      0.06% |      4.32% |      0.15% |      2.26% |      2.31%
    mpki                             |       0.13 |       3.07 |       0.45 |       0.23 |      20.63 |       0.75 |       9.03 |      11.71
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     500796 |    1669428 |     947537 |     174598 |    4741998 |     567386 |    5359211 |    7585399
    num cache misses                 |      65810 |    1525904 |     301048 |     125203 |    3684196 |     555092 |    1474295 |    7315473
    miss rate                        |     13.14% |     91.40% |     31.77% |     71.71% |     77.69% |     97.83% |     27.51% |     96.44%
    mpki                             |       0.17 |       2.91 |       0.66 |       0.26 |      16.18 |       0.77 |       2.58 |      11.74
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      66908 |    1576892 |     308180 |     127044 |    3692600 |     565688 |    1474828 |    7580704
    num cache misses                 |      64588 |    1130558 |     183129 |     125098 |    3665083 |     525918 |    1014987 |    7292311
    miss rate                        |     96.53% |     71.70% |     59.42% |     98.47% |     99.25% |     92.97% |     68.82% |     96.20%
    mpki                             |       0.17 |       2.16 |       0.40 |       0.26 |      16.10 |       0.73 |       1.78 |      11.71
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |   25217512 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |   57040.46 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |   56937.96 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     60.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      25207 |     361876 |      35027 |       8563 |    1821020 |      95786 |       6302 |     697921
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
