                                     | Core 0     | Core 1     | Core 2     | Core 3      | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   19592713 |  375078655 |   13122542 |  1166059221 |  651498916 |  614196724 |  561014041 |  599422406
  Cycles                             |  906738520 |  906738520 |  906738520 |   906738520 |  906738520 |  906738520 |  906738520 |  906738520
  IPC                                |       0.02 |       0.41 |       0.01 |        1.29 |       0.72 |       0.68 |       0.62 |       0.66
  Time (ns)                          |  266687800 |  266687800 |  266687800 |   266687800 |  266687800 |  266687800 |  266687800 |  266687800
  Idle time (ns)                     |      25234 |      34610 |  -22999715 |       43566 |       2664 |      24288 |      43570 |      34690
  Idle time (%)                      |       0.0% |       0.0% |      -8.6% |        0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |             |            |            |            |           
  num correct                        |    1477373 |   44484818 |    3235373 |     6653389 |   33800077 |   29040771 |   66613543 |  117920377
  num incorrect                      |      94830 |    3587894 |      27264 |           3 |    2983032 |    1420849 |     304418 |    6771374
  misprediction rate                 |      6.03% |      7.46% |      0.84% |       0.00% |      8.11% |      4.66% |      0.45% |      5.43%
  mpki                               |       4.84 |       9.57 |       2.08 |        0.00 |       4.58 |       2.31 |       0.54 |      11.30
TLB Summary                          |            |            |            |             |            |            |            |           
  I-TLB                              |            |            |            |             |            |            |            |           
    num accesses                     |    2929485 |   40464368 |     426427 |    84801880 |   82020938 |   87922894 |   56808932 |   77014282
    num misses                       |      14082 |        166 |        219 |           0 |         40 |       4848 |       3331 |          0
    miss rate                        |      0.48% |      0.00% |      0.05% |       0.00% |      0.00% |      0.01% |      0.01% |      0.00%
    mpki                             |       0.72 |       0.00 |       0.02 |        0.00 |       0.00 |       0.01 |       0.01 |       0.00
  D-TLB                              |            |            |            |             |            |            |            |           
    num accesses                     |   11978830 |  132398132 |    2942822 |   394384536 |  389439440 |  360637494 |  185799111 |  355154466
    num misses                       |      11114 |     751569 |        491 |       72153 |     398105 |     681004 |      45868 |       3436
    miss rate                        |      0.09% |      0.57% |      0.02% |       0.02% |      0.10% |      0.19% |      0.02% |      0.00%
    mpki                             |       0.57 |       2.00 |       0.04 |        0.06 |       0.61 |       1.11 |       0.08 |       0.01
  L2 TLB                             |            |            |            |             |            |            |            |           
    num accesses                     |      25196 |     751735 |        710 |       72153 |     398145 |     685852 |      49199 |       3436
    num misses                       |        672 |     388112 |         93 |       71933 |     384311 |      20184 |      37127 |       2790
    miss rate                        |      2.67% |     51.63% |     13.10% |      99.70% |     96.53% |      2.94% |     75.46% |     81.20%
    mpki                             |       0.03 |       1.03 |       0.01 |        0.06 |       0.59 |       0.03 |       0.07 |       0.00
Cache Summary                        |            |            |            |             |            |            |            |           
  Cache L1-I                         |            |            |            |             |            |            |            |           
    num cache accesses               |    2929378 |   40464339 |     426427 |    84801880 |   82020932 |   87922888 |   56808932 |   77014218
    num cache misses                 |     351957 |      41939 |      11955 |       27059 |    1793631 |    1239223 |    1511951 |       4076
    miss rate                        |     12.01% |      0.10% |      2.80% |       0.03% |      2.19% |      1.41% |      2.66% |      0.01%
    mpki                             |      17.96 |       0.11 |       0.91 |        0.02 |       2.75 |       2.02 |       2.70 |       0.01
  Cache L1-D                         |            |            |            |             |            |            |            |           
    num cache accesses               |   11981840 |  132399410 |    2942822 |   394384536 |  389439620 |  360637647 |  185799587 |  355156328
    num cache misses                 |      41969 |    3337710 |       3136 |    12040230 |   22684094 |    2005896 |    3533369 |     581384
    miss rate                        |      0.35% |      2.52% |      0.11% |       3.05% |      5.82% |      0.56% |      1.90% |      0.16%
    mpki                             |       2.14 |       8.90 |       0.24 |       10.33 |      34.82 |       3.27 |       6.30 |       0.97
  Cache L2                           |            |            |            |             |            |            |            |           
    num cache accesses               |     395319 |    3458729 |      15365 |    12067299 |   24513406 |    3256022 |    5050191 |     652034
    num cache misses                 |      37936 |    2077683 |       8950 |     4644008 |   22553574 |     183066 |    2725161 |     256900
    miss rate                        |      9.60% |     60.07% |     58.25% |      38.48% |     92.01% |      5.62% |     53.96% |     39.40%
    mpki                             |       1.94 |       5.54 |       0.68 |        3.98 |      34.62 |       0.30 |       4.86 |       0.43
  Cache L3                           |            |            |            |             |            |            |            |           
    num cache accesses               |      39198 |    2159059 |       9225 |     4644018 |   22589358 |     194153 |    2734915 |     323476
    num cache misses                 |      33729 |     962880 |       8947 |     4604917 |   22539975 |     133792 |    2275574 |     249840
    miss rate                        |     86.05% |     44.60% |     96.99% |      99.16% |     99.78% |     68.91% |     83.20% |     77.24%
    mpki                             |       1.72 |       2.57 |       0.68 |        3.95 |      34.60 |       0.22 |       4.06 |       0.42
DRAM summary                         |            |            |            |             |            |            |            |           
  num dram accesses                  |   60772724 |          0 |          0 |           0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |  -50179.44 |        inf |        inf |         inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |  -50281.95 |       0.00 |       0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     57.00% |      0.00% |      0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |             |            |            |            |           
  num loads from dram                |       8185 |     591854 |       1850 |       12990 |      74699 |      51806 |      96398 |      76727
  num loads from dram cache          |          0 |          0 |          0 |           0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |           0 |          0 |          0 |          0 |          0
