                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  499999856 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  493336087 |  493336087 |  493336087 |  493336087 |  493336087 |  493336087 |  493336087 |  493336087
  IPC                                |       1.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |  145098849 |  145098849 |  145098849 |  145098849 |  145098849 |  145098849 |  145098849 |  145098849
  Idle time (ns)                     |       5499 |  145098849 |  145098849 |  145098849 |  145098849 |  145098849 |  145098849 |  145098849
  Idle time (%)                      |       0.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   72322886 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |    1754510 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      2.37% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       3.51 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   72097910 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |         12 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  250965012 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |    3578605 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      1.43% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       7.16 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |    3578617 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |    1791009 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     50.05% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       3.58 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   72097910 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      72664 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.10% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.15 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  250965012 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    7923461 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      3.16% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |      15.85 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    8114058 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    7086138 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     87.33% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |      14.17 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    7204071 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    3003643 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     41.69% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       6.01 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |    3447587 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     802.12 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     699.61 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      5.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |    2803014 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
