                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  499999884 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  557753643 |  557753643 |  557753643 |  557753643 |  557753643 |  557753643 |  557753643 |  557753643
  IPC                                |       0.90 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |  164045189 |  164045189 |  164045189 |  164045189 |  164045189 |  164045189 |  164045189 |  164045189
  Idle time (ns)                     |       5613 |  164045189 |  164045189 |  164045189 |  164045189 |  164045189 |  164045189 |  164045189
  Idle time (%)                      |       0.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   60314375 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |    6157595 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      9.26% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |      12.32 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   76697798 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |          8 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  200794940 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |    2090013 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      1.04% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       4.18 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |    2090021 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |     851700 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     40.75% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       1.70 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   76697798 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     230450 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.30% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.46 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  200794940 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    5241965 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      2.61% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |      10.48 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    5944792 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    4159044 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     69.96% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       8.32 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    4631453 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    1681230 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     36.30% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       3.36 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |    3226130 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |    2506.75 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |    2404.25 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      4.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |     778525 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
