                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  499999856 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  220689426 |  220689426 |  220689426 |  220689426 |  220689426 |  220689426 |  220689426 |  220689426
  IPC                                |       2.27 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   64908655 |   64908655 |   64908655 |   64908655 |   64908655 |   64908655 |   64908655 |   64908655
  Idle time (ns)                     |       5551 |   64908655 |   64908655 |   64908655 |   64908655 |   64908655 |   64908655 |   64908655
  Idle time (%)                      |       0.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   54682635 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |     661554 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      1.20% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       1.32 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   83077093 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |          2 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  217984466 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |     333238 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.15% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.67 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |     333240 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |     185455 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     55.65% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.37 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   83077093 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |       7945 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.01% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.02 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  217984466 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    1555027 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.71% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       3.11 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1589438 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    1452359 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     91.38% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       2.90 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1478825 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    1067496 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     72.19% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       2.13 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |    1825890 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     188.62 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      86.12 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      7.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |     339188 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
