                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4      | Core 5     | Core 6     | Core 7    
  Instructions                       |  402669968 |  259436410 |  508625421 |  435188896 |  1110730619 |  327429841 |  384954000 |  570933619
  Cycles                             |  519111004 |  519111004 |  519111004 |  519111004 |   519111004 |  519111004 |  519111004 |  519111004
  IPC                                |       0.78 |       0.50 |       0.98 |       0.84 |        2.14 |       0.63 |       0.74 |       1.10
  Time (ns)                          |  152679707 |  152679707 |  152679707 |  152679707 |   152679707 |  152679707 |  152679707 |  152679707
  Idle time (ns)                     |      55685 |      55688 |      52724 |      23332 |       32150 |      20489 |      31446 |      52745
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |        0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |             |            |            |           
  num correct                        |   16920747 |    8897182 |   75810259 |   41708947 |   114388709 |   38103014 |   39118611 |   40897861
  num incorrect                      |     862867 |      54047 |    1801763 |    2942068 |      904488 |    3210955 |    4373365 |    3966349
  misprediction rate                 |      4.85% |      0.60% |      2.32% |      6.59% |       0.78% |      7.77% |     10.06% |      8.84%
  mpki                               |       2.14 |       0.21 |       3.54 |       6.76 |        0.81 |       9.81 |      11.36 |       6.95
TLB Summary                          |            |            |            |            |             |            |            |           
  I-TLB                              |            |            |            |            |             |            |            |           
    num accesses                     |   54359565 |   33012703 |   73723001 |   65653306 |   176136724 |   49575547 |   53033466 |  102737797
    num misses                       |       1157 |         15 |         12 |     351532 |         240 |          8 |     302627 |     513605
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.54% |       0.00% |      0.00% |      0.57% |      0.50%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.81 |        0.00 |       0.00 |       0.79 |       0.90
  D-TLB                              |            |            |            |            |             |            |            |           
    num accesses                     |  240031337 |  116675767 |  243960438 |  259157348 |   482546436 |  134829225 |  230828546 |  303586165
    num misses                       |      96080 |     222262 |    3118067 |    1286541 |       95249 |     929406 |     719793 |    1042678
    miss rate                        |      0.04% |      0.19% |      1.28% |      0.50% |       0.02% |      0.69% |      0.31% |      0.34%
    mpki                             |       0.24 |       0.86 |       6.13 |       2.96 |        0.09 |       2.84 |       1.87 |       1.83
  L2 TLB                             |            |            |            |            |             |            |            |           
    num accesses                     |      97237 |     222277 |    3118079 |    1638073 |       95489 |     929414 |    1022420 |    1556283
    num misses                       |       6592 |     171880 |    1544257 |     203668 |       26537 |     354949 |      96479 |     143757
    miss rate                        |      6.78% |     77.33% |     49.53% |     12.43% |      27.79% |     38.19% |      9.44% |      9.24%
    mpki                             |       0.02 |       0.66 |       3.04 |       0.47 |        0.02 |       1.08 |       0.25 |       0.25
Cache Summary                        |            |            |            |            |             |            |            |           
  Cache L1-I                         |            |            |            |            |             |            |            |           
    num cache accesses               |   54359565 |   33012703 |   73723001 |   65653306 |   176136724 |   49575547 |   53033387 |  102737631
    num cache misses                 |    8218369 |       8811 |      66611 |   13636475 |       23801 |     112425 |   10298411 |    8290190
    miss rate                        |     15.12% |      0.03% |      0.09% |     20.77% |       0.01% |      0.23% |     19.42% |      8.07%
    mpki                             |      20.41 |       0.03 |       0.13 |      31.33 |        0.02 |       0.34 |      26.75 |      14.52
  Cache L1-D                         |            |            |            |            |             |            |            |           
    num cache accesses               |  240031337 |  116677828 |  243962288 |  259158179 |   482547491 |  134830741 |  230830329 |  303588261
    num cache misses                 |     853464 |    2198359 |    6941854 |    1516011 |     2294327 |    3314275 |    1593614 |    2173140
    miss rate                        |      0.36% |      1.88% |      2.85% |      0.58% |       0.48% |      2.46% |      0.69% |      0.72%
    mpki                             |       2.12 |       8.47 |      13.65 |       3.48 |        2.07 |      10.12 |       4.14 |       3.81
  Cache L2                           |            |            |            |            |             |            |            |           
    num cache accesses               |    9079195 |    2400800 |    7215454 |   15188244 |     2719066 |    4227552 |   11938038 |   10483863
    num cache misses                 |     520442 |    2154577 |    6230956 |    1624495 |     1872525 |    2774390 |    1637100 |     897495
    miss rate                        |      5.73% |     89.74% |     86.36% |     10.70% |      68.87% |     65.63% |     13.71% |      8.56%
    mpki                             |       1.29 |       8.30 |      12.25 |       3.73 |        1.69 |       8.47 |       4.25 |       1.57
  Cache L3                           |            |            |            |            |             |            |            |           
    num cache accesses               |     542092 |    2348206 |    6437950 |    1660402 |     2273540 |    3575359 |    1684895 |     922605
    num cache misses                 |     445171 |    2043544 |    3232185 |     520982 |     1443060 |    2181182 |     567675 |     370044
    miss rate                        |     82.12% |     87.03% |     50.21% |     31.38% |      63.47% |     61.01% |     33.69% |     40.11%
    mpki                             |       1.11 |       7.88 |       6.35 |       1.20 |        1.30 |       6.66 |       1.47 |       0.65
DRAM summary                         |            |            |            |            |             |            |            |           
  num dram accesses                  |   15307365 |          0 |          0 |          0 |           0 |          0 |          0 |          0
  average dram access latency (ns)   |     349.48 |        inf |        inf |        inf |         inf |        inf |        inf |        inf
  average dram queueing delay        |     246.98 |       0.00 |       0.00 |       0.00 |        0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     25.00% |      0.00% |      0.00% |      0.00% |       0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |             |            |            |           
  num loads from dram                |      44841 |    2018661 |    2929767 |     145654 |      855170 |    1340252 |     121980 |     138672
  num loads from dram cache          |          0 |          0 |          0 |          0 |           0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |           0 |          0 |          0 |          0
