                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  380153291 |  527492231 |  453141895 |  494723748 |  224677839 |  720075590 |  577543099 |  622173797
  Cycles                             |  352374919 |  352374919 |  352374919 |  352374919 |  352374919 |  352374919 |  352374919 |  352374919
  IPC                                |       1.08 |       1.50 |       1.29 |       1.40 |       0.64 |       2.04 |       1.64 |       1.77
  Time (ns)                          |  103639682 |  103639682 |  103639682 |  103639682 |  103639682 |  103639682 |  103639682 |  103639682
  Idle time (ns)                     |      39372 |      39874 |      58207 |      58202 |       4382 |      45595 |      45817 |      24083
  Idle time (%)                      |       0.0% |       0.0% |       0.1% |       0.1% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   55080907 |   57272335 |    5800229 |   87180581 |   18981081 |   96595355 |    8843753 |   56194089
  num incorrect                      |    3746839 |     456866 |     352084 |    3171853 |    2696667 |      10547 |     243235 |      99847
  misprediction rate                 |      6.37% |      0.79% |      5.72% |      3.51% |     12.44% |      0.01% |      2.68% |      0.18%
  mpki                               |       9.86 |       0.87 |       0.78 |       6.41 |      12.00 |       0.01 |       0.42 |       0.16
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   59118174 |   88929084 |   76843762 |   77413332 |   23197837 |  119399574 |   43315420 |   62637144
    num misses                       |         45 |          2 |      42124 |          9 |          9 |        160 |        173 |          6
    miss rate                        |      0.00% |      0.00% |      0.05% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.09 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  156278520 |  233323424 |  292197393 |  176193019 |  107610963 |  362093263 |  231014690 |  315787922
    num misses                       |      87689 |     359284 |      36857 |       1704 |      62764 |       7650 |     617086 |     147237
    miss rate                        |      0.06% |      0.15% |      0.01% |      0.00% |      0.06% |      0.00% |      0.27% |      0.05%
    mpki                             |       0.23 |       0.68 |       0.08 |       0.00 |       0.28 |       0.01 |       1.07 |       0.24
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      87734 |     359286 |      78981 |       1713 |      62773 |       7810 |     617259 |     147243
    num misses                       |        359 |     196503 |       7452 |       1584 |      56605 |       7554 |      17847 |     147190
    miss rate                        |      0.41% |     54.69% |      9.44% |     92.47% |     90.17% |     96.72% |      2.89% |     99.96%
    mpki                             |       0.00 |       0.37 |       0.02 |       0.00 |       0.25 |       0.01 |       0.03 |       0.24
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   59118123 |   88929050 |   76843762 |   77413332 |   23197836 |  119399508 |   43315420 |   62637143
    num cache misses                 |     438416 |      10591 |     736803 |      62828 |      37248 |      14010 |     200234 |      21861
    miss rate                        |      0.74% |      0.01% |      0.96% |      0.08% |      0.16% |      0.01% |      0.46% |      0.03%
    mpki                             |       1.15 |       0.02 |       1.63 |       0.13 |       0.17 |       0.02 |       0.35 |       0.04
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  156279595 |  233324686 |  292197393 |  176193019 |  107611287 |  362094673 |  231015112 |  315788678
    num cache misses                 |      48898 |    1612255 |     201757 |     111972 |    4684725 |     491177 |    5170951 |    7292594
    miss rate                        |      0.03% |      0.69% |      0.07% |      0.06% |      4.35% |      0.14% |      2.24% |      2.31%
    mpki                             |       0.13 |       3.06 |       0.45 |       0.23 |      20.85 |       0.68 |       8.95 |      11.72
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     488343 |    1674991 |     943568 |     176761 |    4728300 |     515781 |    5371727 |    7579659
    num cache misses                 |      64181 |    1528511 |     299093 |     127288 |    3682108 |     503480 |    1486250 |    7309743
    miss rate                        |     13.14% |     91.25% |     31.70% |     72.01% |     77.87% |     97.62% |     27.67% |     96.44%
    mpki                             |       0.17 |       2.90 |       0.66 |       0.26 |      16.39 |       0.70 |       2.57 |      11.75
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      65209 |    1580660 |     304933 |     129265 |    3689955 |     514079 |    1486805 |    7574958
    num cache misses                 |      62976 |    1131186 |     182380 |     127137 |    3662882 |     474366 |    1026206 |    7286622
    miss rate                        |     96.58% |     71.56% |     59.81% |     98.35% |     99.27% |     92.27% |     69.02% |     96.19%
    mpki                             |       0.17 |       2.14 |       0.40 |       0.26 |      16.30 |       0.66 |       1.78 |      11.71
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |   25151369 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |   57763.29 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |   57660.79 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     60.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      24567 |     362858 |      33263 |       9009 |    1819815 |      70042 |       6400 |     692590
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
