                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  499999857 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  283292770 |  283292770 |  283292770 |  283292770 |  283292770 |  283292770 |  283292770 |  283292770
  IPC                                |       1.76 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   83321403 |   83321403 |   83321403 |   83321403 |   83321403 |   83321403 |   83321403 |   83321403
  Idle time (ns)                     |       5602 |   83321403 |   83321403 |   83321403 |   83321403 |   83321403 |   83321403 |   83321403
  Idle time (%)                      |       0.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   72384695 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |    5016375 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      6.48% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |      10.03 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   77646280 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |         40 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  205487272 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |     116796 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.06% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.23 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |     116836 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        631 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.54% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   77646280 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     557830 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.72% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       1.12 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  205487272 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      60469 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.03% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.12 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     618299 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      60093 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      9.72% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.12 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      60093 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      36085 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     60.05% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.07 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      36085 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     102.60 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.09 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      21328 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
