                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  2499999770 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  1327262514 |  1327262514 |  1327262514 |  1327262514 |  1327262514 |  1327262514 |  1327262514 |  1327262514
  IPC                                |        1.88 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   390371328 |   390371328 |   390371328 |   390371328 |   390371328 |   390371328 |   390371328 |   390371328
  Idle time (ns)                     |       55244 |   390371328 |   390371328 |   390371328 |   390371328 |   390371328 |   390371328 |   390371328
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    95712075 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |     4543476 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       4.53% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |        1.82 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   353228714 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |           6 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1492700236 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |     2493013 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.17% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        1.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     2493019 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |        1798 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.07% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   353228714 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     5094794 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       1.44% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        2.04 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1492700236 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     8207406 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.55% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        3.28 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    13302200 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |        1043 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.01% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |        1043 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |         143 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      13.71% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |         143 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      103.22 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |        0.72 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
