                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  499999742 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  382438754 |  382438754 |  382438754 |  382438754 |  382438754 |  382438754 |  382438754 |  382438754
  IPC                                |       1.31 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |  112481987 |  112481987 |  112481987 |  112481987 |  112481987 |  112481987 |  112481987 |  112481987
  Idle time (ns)                     |       5614 |  112481987 |  112481987 |  112481987 |  112481987 |  112481987 |  112481987 |  112481987
  Idle time (%)                      |       0.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   36766714 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |    3452243 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      8.58% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       6.90 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   90020488 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |     423356 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.47% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.85 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  263509441 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |     950661 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.36% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       1.90 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |    1374017 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |     145671 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     10.60% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.29 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   90020488 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    7701022 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      8.55% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |      15.40 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  263539921 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    2053611 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.78% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       4.11 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    9754633 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     685284 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      7.03% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       1.37 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     685284 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      91702 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     13.38% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.18 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      92202 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     160.76 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      58.25 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      25906 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
