                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  2499997942 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  5325221879 |  5325221879 |  5325221879 |  5325221879 |  5325221879 |  5325221879 |  5325221879 |  5325221879
  IPC                                |        0.47 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |  1566241729 |  1566241729 |  1566241729 |  1566241729 |  1566241729 |  1566241729 |  1566241729 |  1566241729
  Idle time (ns)                     |       78450 |  1566241729 |  1566241729 |  1566241729 |  1566241729 |  1566241729 |  1566241729 |  1566241729
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   319438130 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |    33340955 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       9.45% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |       13.34 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   405377415 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1045404780 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |    25596746 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       2.45% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |       10.24 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |    25596746 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |    11765924 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      45.97% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        4.71 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   405377415 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     2093183 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.52% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.84 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1045411100 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |    40633297 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       3.89% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |       16.25 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    45829891 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |    32277371 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      70.43% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |       12.91 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    35382050 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |    13783350 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      38.96% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        5.51 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    18197730 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      102.92 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |        0.42 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       2.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |    12836549 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
