                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  2499999839 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  2310380386 |  2310380386 |  2310380386 |  2310380386 |  2310380386 |  2310380386 |  2310380386 |  2310380386
  IPC                                |        1.08 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   679523643 |   679523643 |   679523643 |   679523643 |   679523643 |   679523643 |   679523643 |   679523643
  Idle time (ns)                     |       56695 |   679523643 |   679523643 |   679523643 |   679523643 |   679523643 |   679523643 |   679523643
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   306534633 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |    26419739 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       7.93% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |       10.57 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   313967573 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |           3 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   638173479 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |      251963 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.04% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.10 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      251966 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |      193175 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      76.67% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.08 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   313967573 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |       13459 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.01 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   638173479 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     4726840 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.74% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        1.89 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     5318963 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     2779622 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      52.26% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        1.11 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     3358286 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     2019033 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      60.12% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.81 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |     3250699 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |    13737.21 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |    13634.70 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       1.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |     1447443 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
