                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  2499999836 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  1254249081 |  1254249081 |  1254249081 |  1254249081 |  1254249081 |  1254249081 |  1254249081 |  1254249081
  IPC                                |        1.99 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   368896789 |   368896789 |   368896789 |   368896789 |   368896789 |   368896789 |   368896789 |   368896789
  Idle time (ns)                     |       55167 |   368896789 |   368896789 |   368896789 |   368896789 |   368896789 |   368896789 |   368896789
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    95698846 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |     4556627 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       4.55% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |        1.82 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   353228711 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |           5 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1492700251 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |     2407333 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.16% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.96 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     2407338 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |        5619 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.23% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   353228711 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |         466 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1492700251 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |        1591 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |        2057 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |         237 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      11.52% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |         237 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |         143 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      60.34% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |         143 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      102.98 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |        0.48 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
