                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  499999747 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  347664215 |  347664215 |  347664215 |  347664215 |  347664215 |  347664215 |  347664215 |  347664215
  IPC                                |       1.44 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |  102254181 |  102254181 |  102254181 |  102254181 |  102254181 |  102254181 |  102254181 |  102254181
  Idle time (ns)                     |       5582 |  102254181 |  102254181 |  102254181 |  102254181 |  102254181 |  102254181 |  102254181
  Idle time (%)                      |       0.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   36657977 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |    3560977 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      8.85% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       7.12 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   90020486 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |     301364 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.33% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.60 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  263509445 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |    1050449 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.40% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       2.10 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |    1351813 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |     131325 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      9.71% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.26 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   90020486 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    3996663 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      4.44% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       7.99 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  263539925 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     749612 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.28% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       1.50 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    4746275 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     126789 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      2.67% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.25 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     126789 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      91703 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     72.33% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.18 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      91703 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     160.68 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      58.18 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       2820 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
