                                     | Core 0      | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  2499999126 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |   842914528 |  842914528 |  842914528 |  842914528 |  842914528 |  842914528 |  842914528 |  842914528
  IPC                                |        2.97 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   247916038 |  247916038 |  247916038 |  247916038 |  247916038 |  247916038 |  247916038 |  247916038
  Idle time (ns)                     |       63704 |  247916038 |  247916038 |  247916038 |  247916038 |  247916038 |  247916038 |  247916038
  Idle time (%)                      |        0.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |             |            |            |            |            |            |            |           
  num correct                        |   184940943 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |       10884 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |       0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |        0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |             |            |            |            |            |            |            |           
  I-TLB                              |             |            |            |            |            |            |            |           
    num accesses                     |   309626907 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |         150 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |             |            |            |            |            |            |            |           
    num accesses                     |   969713805 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |      640487 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.07% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.26 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |             |            |            |            |            |            |            |           
    num accesses                     |      640637 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |       15071 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       2.35% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |             |            |            |            |            |            |            |           
  Cache L1-I                         |             |            |            |            |            |            |            |           
    num cache accesses               |   309626907 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |        5443 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.00% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        0.00 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |             |            |            |            |            |            |            |           
    num cache accesses               |   969713845 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    10902617 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       1.12% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        4.36 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |             |            |            |            |            |            |            |           
    num cache accesses               |    10959340 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     1003992 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       9.16% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        0.40 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |             |            |            |            |            |            |            |           
    num cache accesses               |     1055274 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      723500 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      68.56% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        0.29 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |             |            |            |            |            |            |            |           
  num dram accesses                  |     1320965 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     9861.33 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     9758.83 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |       1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |             |            |            |            |            |            |            |           
  num loads from dram                |      353382 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |           0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |           0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
