                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  2499997945 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  4507316859 |  4507316859 |  4507316859 |  4507316859 |  4507316859 |  4507316859 |  4507316859 |  4507316859
  IPC                                |        0.55 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |  1325681429 |  1325681429 |  1325681429 |  1325681429 |  1325681429 |  1325681429 |  1325681429 |  1325681429
  Idle time (ns)                     |       78054 |  1325681429 |  1325681429 |  1325681429 |  1325681429 |  1325681429 |  1325681429 |  1325681429
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   319509630 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |    33269455 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       9.43% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |       13.31 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   405377415 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1045404780 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |    23991318 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       2.29% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        9.60 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |    23991318 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |    11562787 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      48.20% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        4.63 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   405377415 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      925933 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.23% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.37 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1045411100 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |    35378807 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       3.38% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |       14.15 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    39144811 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |    27724064 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      70.82% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |       11.09 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    30564599 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |    10142325 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      33.18% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        4.06 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    14395419 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      102.82 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |        0.32 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       2.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |     9295141 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
