                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  699998533 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  490846768 |  490846768 |  490846768 |  490846768 |  490846768 |  490846768 |  490846768 |  490846768
  IPC                                |       1.43 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |  144366697 |  144366697 |  144366697 |  144366697 |  144366697 |  144366697 |  144366697 |  144366697
  Idle time (ns)                     |      91483 |  144366697 |  144366697 |  144366697 |  144366697 |  144366697 |  144366697 |  144366697
  Idle time (%)                      |       0.1% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   67755901 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |    2522462 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      3.59% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       3.60 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  110862117 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        101 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  291720451 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |     208766 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.07% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.30 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |     208867 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |      85544 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     40.96% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.12 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |  110862117 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      16219 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.01% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.02 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  291720981 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    4869285 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      1.67% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       6.96 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    5018717 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    4525488 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     90.17% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       6.46 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    4658765 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    2743187 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     58.88% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       3.92 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |    5153062 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |   76574.19 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |   76471.69 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      8.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |     590410 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
