                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  2499999642 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  2476571467 |  2476571467 |  2476571467 |  2476571467 |  2476571467 |  2476571467 |  2476571467 |  2476571467
  IPC                                |        1.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   728403373 |   728403373 |   728403373 |   728403373 |   728403373 |   728403373 |   728403373 |   728403373
  Idle time (ns)                     |       55509 |   728403373 |   728403373 |   728403373 |   728403373 |   728403373 |   728403373 |   728403373
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   327609529 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |    31573626 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       8.79% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |       12.63 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   247108791 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |         816 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   845296641 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |     3413104 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.40% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        1.37 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     3413920 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |     1529211 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      44.79% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.61 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   247108791 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      120931 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.05% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.05 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   845297691 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |    16084777 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       1.90% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        6.43 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    16207835 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     6237184 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      38.48% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        2.49 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     6239328 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     1581457 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      25.35% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.63 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |     1609154 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      103.78 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |        1.27 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |     1568136 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
