                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  2499999821 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  2255333460 |  2255333460 |  2255333460 |  2255333460 |  2255333460 |  2255333460 |  2255333460 |  2255333460
  IPC                                |        1.11 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   663333371 |   663333371 |   663333371 |   663333371 |   663333371 |   663333371 |   663333371 |   663333371
  Idle time (ns)                     |       56632 |   663333371 |   663333371 |   663333371 |   663333371 |   663333371 |   663333371 |   663333371
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   306519100 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |    26423443 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       7.94% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |       10.57 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   313968650 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |           3 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   638160228 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |      223009 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.03% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.09 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      223012 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |      192929 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      86.51% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.08 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   313968650 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |        6097 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   638160228 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     3689176 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.58% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        1.48 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     3956738 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     2733641 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      69.09% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        1.09 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     2995106 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     1525173 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      50.92% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.61 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |     2408769 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |    19253.10 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |    19150.60 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |      987881 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
