                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  2499999812 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  7895682942 |  7895682942 |  7895682942 |  7895682942 |  7895682942 |  7895682942 |  7895682942 |  7895682942
  IPC                                |        0.32 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |  2322259689 |  2322259689 |  2322259689 |  2322259689 |  2322259689 |  2322259689 |  2322259689 |  2322259689
  Idle time (ns)                     |       51000 |  2322259689 |  2322259689 |  2322259689 |  2322259689 |  2322259689 |  2322259689 |  2322259689
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    51453897 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |     3082362 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       5.65% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |        1.23 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   317386712 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1795701865 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |      551541 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.03% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.22 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      551541 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |       12374 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       2.24% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   317386712 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |   241813383 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      76.19% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |       96.73 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1795701865 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |    10503154 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.58% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        4.20 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |   252316537 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     1176671 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.47% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.47 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     1623444 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      796601 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      49.07% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.32 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |     1492626 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      103.32 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |        0.82 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |      561018 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
